Day of Week,Date,,,Event,Date Wikipedia,Event Wikipedia,Date UFC,Event UFC,Date Sherdog,Event Sherdog,Date Fightmetric,Event Fightmetric,Date MMAFighting,Event MMAFighting
Sunday,5/29/2016,FALSE,FALSE,UFC Fight Night: Almeida vs. Garbrandt,5/29/2016,UFC Fight Night: Almeida vs. Garbrandt,5/29/2016,UFC Fight Night - Almeida vs. Garbrandt,5/29/2016,,5/29/2016,UFC Fight Night: Almeida vs Garbrandt,5/29/2016,
Saturday,5/14/2016,FALSE,FALSE,UFC 198: Werdum vs. Miocic,5/14/2016,UFC 198: Werdum vs. Miocic,5/14/2016,UFC 198 - Werdum vs. Miocic,5/14/2016,UFC 198 - Werdum vs. Miocic,5/14/2016,UFC 198: Werdum vs Miocic,5/14/2016,
Sunday,5/8/2016,FALSE,FALSE,UFC Fight Night: Overeem vs. Arlovski,5/8/2016,UFC Fight Night: Overeem vs. Arlovski,5/8/2016,UFC Fight Night - Overeem vs. Arlovski,5/8/2016,,5/8/2016,UFC Fight Night: Overeem vs Arlovski,5/8/2016,
Saturday,4/23/2016,FALSE,FALSE,UFC 197: Jones vs. Saint Preux,4/23/2016,UFC 197: Jones vs. Saint Preux,4/23/2016,UFC 197 - Jones vs. Saint Preux,4/23/2016,UFC 197 - Jones vs. St. Preux,4/23/2016,UFC 197: Jones vs Saint Preux,4/23/2016,
Saturday,4/16/2016,FALSE,FALSE,UFC on Fox: Teixeira vs. Evans,4/16/2016,UFC on Fox: Teixeira vs. Evans,4/16/2016,UFC Fight Night - Teixeira vs. Evans,4/16/2016,,4/16/2016,UFC Fight Night: Teixeira vs Evans,4/16/2016,
Sunday,4/10/2016,FALSE,FALSE,UFC Fight Night: Rothwell vs. dos Santos,4/10/2016,UFC Fight Night: Rothwell vs. dos Santos,4/10/2016,UFC Fight Night - Rothwell vs. Dos Santos,4/10/2016,UFC Fight Night 86 - Rothwell vs. Dos Santos,4/10/2016,UFC Fight Night: Rothwell vs Dos Santos,4/10/2016,
Saturday,3/19/2016,FALSE,FALSE,UFC Fight Night: Hunt vs. Mir,3/20/2016,UFC Fight Night: Hunt vs. Mir,3/19/2016,UFC Fight Night - Hunt vs. Mir,3/19/2016,,3/19/2016,UFC Fight Night: Hunt vs Mir,3/19/2016,
Saturday,3/5/2016,FALSE,FALSE,UFC 196: McGregor vs. Diaz,3/5/2016,UFC 196: McGregor vs. Diaz,3/5/2016,UFC 196 - McGregor vs. Diaz,3/5/2016,UFC 196 - McGregor vs. Diaz,3/5/2016,UFC 196: McGregor vs Diaz,3/5/2016,
Saturday,2/27/2016,FALSE,FALSE,UFC Fight Night: Silva vs. Bisping,2/27/2016,UFC Fight Night: Silva vs. Bisping,2/27/2016,UFC Fight Night - Silva vs. Bisping,2/27/2016,,2/27/2016,UFC Fight Night: Silva vs Bisping,2/27/2016,
Sunday,2/21/2016,FALSE,FALSE,UFC Fight Night: Cowboy vs. Cowboy,2/21/2016,UFC Fight Night: Cowboy vs. Cowboy,2/21/2016,UFC Fight Night - Cowboy vs. Cowboy,2/21/2016,UFC Fight Night 83 - Cerrone vs. Oliveira,2/21/2016,UFC Fight Night: Cowboy vs Cowboy,2/21/2016,
Saturday,2/6/2016,FALSE,FALSE,UFC Fight Night: Hendricks vs. Thompson,2/6/2016,UFC Fight Night: Hendricks vs. Thompson,2/6/2016,UFC Fight Night - Hendricks vs. Thompson,2/6/2016,,2/6/2016,UFC Fight Night: Hendricks vs Thompson,2/6/2016,
