Day of Week,Date,,,Event,Date Wikipedia,Event Wikipedia,Date UFC,Event UFC,Date Sherdog,Event Sherdog,Date Fightmetric,Event Fightmetric,Date MMAFighting,Event MMAFighting
Saturday,10/19/2013,FALSE,FALSE,UFC 166: Velasquez vs. Dos Santos 3,10/19/2013,UFC 166: Velasquez vs. Dos Santos 3,10/19/2013,UFC 166 - Live on Pay-Per-View,10/19/2013,,10/19/2013,UFC 166: Velasquez vs Dos Santos 3,10/19/2013,
Wednesday,10/9/2013,FALSE,FALSE,UFC Fight Night 29: Maia vs. Shields,10/9/2013,UFC Fight Night 29 !UFC Fight Night: Maia vs. Shields,10/9/2013,UFC Fight Night - Maia vs. Shields,10/9/2013,UFC Fight Night 29 - Maia vs. Shields,10/9/2013,UFC Fight Night: Maia vs Shields,10/9/2013,
Saturday,9/21/2013,FALSE,FALSE,UFC 165: Jones vs. Gustafsson,9/21/2013,UFC 165: Jones vs. Gustafsson,9/21/2013,UFC 165 - Live on Pay-Per-View,9/21/2013,,9/21/2013,UFC 165: Jones vs Gustafsson,9/21/2013,
Wednesday,9/4/2013,FALSE,FALSE,UFC Fight Night 28: Teixeira vs. Bader,9/4/2013,UFC Fight Night 28 !UFC Fight Night: Teixeira vs. Bader,9/4/2013,UFC Fight Night - Teixeira vs. Bader,9/4/2013,UFC Fight Night 28 - Teixeira vs. Bader,9/4/2013,UFC Fight Night: Teixeira vs Bader,9/4/2013,
Saturday,8/31/2013,FALSE,FALSE,UFC 164: Henderson vs. Pettis,8/31/2013,UFC 164: Henderson vs. Pettis,8/31/2013,UFC 164 - Live on Pay-Per-View,8/31/2013,,8/31/2013,UFC 164: Henderson vs Pettis 2,8/31/2013,
Wednesday,8/28/2013,FALSE,FALSE,UFC Fight Night 27: Condit vs. Kampmann 2,8/28/2013,UFC Fight Night 27 !UFC Fight Night: Condit vs. Kampmann 2,8/28/2013,UFC Fight Night - Condit vs. Kampmann 2,8/28/2013,UFC Fight Night 27 - Condit vs. Kampmann 2,8/28/2013,UFC Fight Night: Condit vs Kampmann 2,8/28/2013,"UFC Fight Night 27 weigh-ins: Carlos Condit, Martin Kampmann make weight"
Saturday,8/17/2013,FALSE,FALSE,UFC Fight Night 26: Shogun vs. Sonnen,8/17/2013,UFC Fight Night 26 !UFC Fight Night: Shogun vs. Sonnen,8/17/2013,UFC Fight Night - Shogun vs. Sonnen,8/17/2013,,8/17/2013,UFC Fight Night: Shogun vs Sonnen,8/17/2013,
Saturday,8/3/2013,FALSE,FALSE,UFC 163: Aldo vs. Korean Zombie,8/3/2013,UFC 163: Aldo vs. Korean Zombie,8/3/2013,UFC 163 - Live on Pay-Per-View,8/3/2013,UFC 163 - Aldo vs. Korean Zombie,8/3/2013,UFC 163: Aldo vs Jung,8/3/2013,"UFC 163 weigh-in results: Jose Aldo, Chan Sung Jung make weight (updated)"
Saturday,7/27/2013,FALSE,FALSE,UFC on Fox: Johnson vs. Moraga,7/27/2013,UFC on Fox: Johnson vs. Moraga,7/27/2013,UFC on FOX 8 - Live from Seattle,7/27/2013,,7/27/2013,UFC on Fox: Johnson vs Moraga,7/27/2013,
Saturday,7/6/2013,FALSE,FALSE,UFC 162: Silva vs. Weidman,7/6/2013,UFC 162: Silva vs. Weidman,7/6/2013,UFC 162 - Live on Pay-Per-View,7/6/2013,UFC 162 - Silva vs. Weidman,7/6/2013,UFC 162: Silva vs Weidman,7/6/2013,
Saturday,6/15/2013,FALSE,FALSE,UFC 161: Evans vs. Henderson,6/15/2013,UFC 161: Evans vs. Henderson,6/15/2013,UFC 161 - Live on Pay-Per-View,6/15/2013,,6/15/2013,UFC 161: Evans vs Henderson,6/15/2013,
Saturday,6/8/2013,FALSE,FALSE,UFC on Fuel TV: Nogueira vs. Werdum,6/8/2013,UFC on Fuel TV: Nogueira vs. Werdum,6/8/2013,UFC on FUEL TV 10 - Live from Brazil,6/8/2013,UFC on Fuel TV 10 - Nogueira vs. Werdum,6/8/2013,UFC on FUEL TV 10,6/8/2013,
Saturday,5/25/2013,FALSE,FALSE,UFC 160: Velasquez vs. Bigfoot 2,5/25/2013,UFC 160: Velasquez vs. Bigfoot 2,5/25/2013,UFC 160 - Live on Pay-Per-View,5/25/2013,,5/25/2013,UFC 160: Velasquez vs Silva 2,5/25/2013,
Saturday,5/18/2013,FALSE,FALSE,UFC on FX: Belfort vs. Rockhold,5/18/2013,UFC on FX: Belfort vs. Rockhold,5/18/2013,UFC on FX 8 - Live from Brazil,5/18/2013,UFC on FX 8 - Belfort vs. Rockhold,5/18/2013,UFC on FX: Belfort vs. Rockhold,5/18/2013,
Saturday,4/27/2013,FALSE,FALSE,UFC 159: Jones vs. Sonnen,4/27/2013,UFC 159: Jones vs. Sonnen,4/27/2013,UFC 159 - Live on Pay-Per View,4/27/2013,,4/27/2013,UFC 159: Jones vs Sonnen,4/27/2013,
Saturday,4/20/2013,FALSE,FALSE,UFC on Fox: Henderson vs. Melendez,4/20/2013,UFC on Fox: Henderson vs. Melendez,4/20/2013,UFC on FOX 7 - Live from San Jose,4/20/2013,UFC on Fox 7 - Henderson vs. Melendez,4/20/2013,UFC on FOX: Henderson vs Melendez,4/20/2013,
Saturday,4/13/2013,FALSE,FALSE,Ultimate Fighter 17: Team Jones vs. Team Sonnen Finale,4/13/2013,Ultimate Fighter 17 !The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,4/13/2013,The Ultimate Fighter 17 Finale - Live from Las Vegas,4/13/2013,,4/13/2013,The Ultimate Fighter 17 Finale,4/13/2013,
Saturday,4/6/2013,FALSE,FALSE,UFC on Fuel TV: Mousasi vs. Latifi,4/6/2013,UFC on Fuel TV: Mousasi vs. Latifi,4/6/2013,UFC on FUEL TV 9 - Live from Stockholm,4/6/2013,UFC on Fuel TV 9 - Mousasi vs. Latifi,4/6/2013,UFC on FUEL TV 9: Mousasi vs Latifi,4/6/2013,
Saturday,3/16/2013,FALSE,FALSE,UFC 158: St-Pierre vs. Diaz,3/16/2013,UFC 158: St-Pierre vs. Diaz,3/16/2013,UFC 158 - Live on Pay-Per View,3/16/2013,,3/16/2013,UFC 158: St-Pierre vs Diaz,3/16/2013,
Saturday,3/2/2013,FALSE,FALSE,UFC on Fuel TV: Silva vs. Stann,3/3/2013,UFC on Fuel TV: Silva vs. Stann,3/2/2013,UFC on FUEL TV 8 - Japan 2013,3/3/2013,UFC on Fuel TV 8 - Silva vs. Stann,3/2/2013,UFC on FUEL TV: Japan,3/2/2013,UFC on FUEL TV 8 weigh-in results
Saturday,2/23/2013,FALSE,FALSE,UFC 157: Rousey vs. Carmouche,2/23/2013,UFC 157: Rousey vs. Carmouche,2/23/2013,UFC 157,2/23/2013,,2/23/2013,UFC 157: Rousey vs Carmouche,2/23/2013,
Saturday,2/16/2013,FALSE,FALSE,UFC on Fuel TV: Baro vs. McDonald,2/16/2013,UFC on Fuel TV: Baro vs. McDonald,2/16/2013,UFC on FUEL TV 7 - Live from London,2/16/2013,UFC on Fuel TV 7 - Barao vs. McDonald,2/16/2013,UFC on FUEL TV: Barao vs McDonald,2/16/2013,
Saturday,2/2/2013,FALSE,FALSE,UFC 156: Aldo vs. Edgar,2/2/2013,UFC 156: Aldo vs. Edgar,2/2/2013,UFC 156 - Live on Pay-Per-View,2/2/2013,,2/2/2013,UFC 156: Aldo vs Edgar,2/2/2013,UFC 156: Aldo vs. Edgar weigh-in results
Saturday,1/26/2013,FALSE,FALSE,UFC on Fox: Johnson vs. Dodson,1/26/2013,UFC on Fox: Johnson vs. Dodson,1/26/2013,UFC on FOX 6 - Live from Chicago,1/26/2013,UFC on Fox 6 - Johnson vs. Dodson,1/26/2013,UFC on Fox: Johnson vs Dodson,1/26/2013,
Saturday,1/19/2013,FALSE,FALSE,UFC on FX: Belfort vs. Bisping,1/19/2013,UFC on FX: Belfort vs. Bisping,1/19/2013,UFC on FX 7 - Live from Brazil,1/19/2013,,1/19/2013,UFC on FX: Belfort vs Bisping,1/19/2013,
Saturday,12/29/2012,FALSE,FALSE,UFC 155: Dos Santos vs. Velasquez 2,12/29/2012,UFC 155: dos Santos vs. Velasquez 2,12/29/2012,UFC 155 Live on Pay-Per-View - Live on Pay-Per-View,12/29/2012,UFC 155 - Dos Santos vs. Velasquez 2,12/29/2012,UFC 155: Dos Santos vs Velasquez II,12/29/2012,
Saturday,12/15/2012,FALSE,FALSE,Ultimate Fighter 16: Team Carwin vs. Team Nelson Finale,12/15/2012,Ultimate Fighter 16 !The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,12/15/2012,The Ultimate Fighter 16,12/15/2012,UFC - The Ultimate Fighter 16 Finale,12/15/2012,The Ultimate Fighter 16 Finale,12/15/2012,
Saturday,12/14/2012,FALSE,FALSE,UFC on FX: Sotiropoulos vs. Pearson,12/15/2012,UFC on FX: Sotiropoulos vs. Pearson,12/14/2012,UFC on FX 6,12/15/2012,,12/15/2012,UFC on FX: Sotiropoulos vs Pearson,12/15/2012,
Saturday,12/8/2012,FALSE,FALSE,UFC on Fox: Henderson vs. Diaz,12/8/2012,UFC on Fox: Henderson vs. Diaz,12/8/2012,UFC on FOX 5,12/8/2012,,12/8/2012,UFC on Fox: Henderson vs Diaz,12/8/2012,
Saturday,11/17/2012,FALSE,FALSE,UFC 154: St-Pierre vs. Condit,11/17/2012,UFC 154: St-Pierre vs. Condit,11/17/2012,UFC 154 Live on Pay-Per-View,11/17/2012,UFC 154 - St. Pierre vs. Condit,11/17/2012,UFC 154: St-Pierre vs Condit,11/17/2012,
Saturday,11/10/2012,FALSE,FALSE,UFC on Fuel TV: Franklin vs. Le,11/10/2012,UFC on Fuel TV: Franklin vs. Le,11/10/2012,UFC Macao,11/10/2012,,11/10/2012,UFC Macao: Franklin vs Le,11/10/2012,
Saturday,10/13/2012,FALSE,FALSE,UFC 153: Silva vs. Bonnar,10/13/2012,UFC 153: Silva vs. Bonnar,10/13/2012,UFC 153 Live on Pay-Per-View,10/13/2012,UFC 153 - Silva vs. Bonnar,10/13/2012,UFC 153: Silva vs Bonnar,10/13/2012,
Friday,10/5/2012,FALSE,FALSE,UFC on FX: Browne vs. Bigfoot,10/5/2012,UFC on FX: Browne vs. Bigfoot,10/5/2012,UFC on FX 5,10/5/2012,,10/5/2012,UFC on FX: Browne vs Bigfoot,10/5/2012,
Saturday,9/29/2012,FALSE,FALSE,UFC on Fuel TV: Struve vs. Miocic,9/29/2012,UFC on Fuel TV: Struve vs. Miocic,9/29/2012,UFC on FUEL TV 5,9/29/2012,UFC on Fuel TV 5 - Struve vs. Miocic,9/29/2012,UFC on FUEL TV: Struve vs Miocic,9/29/2012,
Saturday,9/22/2012,FALSE,FALSE,UFC 152: Jones vs. Belfort,9/22/2012,UFC 152: Jones vs. Belfort,9/22/2012,UFC 152 Live on Pay-Per-View,9/22/2012,,9/22/2012,UFC 152: Jones vs Belfort,9/22/2012,
Saturday,9/1/2012,FALSE,FALSE,UFC 151: Jones vs. Henderson,9/1/2012,UFC 151: Jones vs. Henderson,9/1/2012,,9/1/2012,,9/1/2012,,9/1/2012,
Saturday,8/11/2012,FALSE,FALSE,UFC 150: Henderson vs. Edgar II,8/11/2012,UFC 150: Henderson vs. Edgar II,8/11/2012,UFC 150 Live on Pay-Per-View,8/11/2012,,8/11/2012,UFC 150: Henderson vs Edgar II,8/11/2012,
Saturday,8/4/2012,FALSE,FALSE,UFC on Fox: Shogun vs. Vera,8/4/2012,UFC on Fox: Shogun vs. Vera,8/4/2012,UFC on FOX 4,8/4/2012,UFC on Fox 4 - Shogun vs. Vera,8/4/2012,UFC on FOX: Shogun vs Vera,8/4/2012,
Saturday,7/21/2012,FALSE,FALSE,UFC 149: Faber vs. Baro,7/21/2012,UFC 149: Faber vs. Baro,7/21/2012,UFC 149 Live on Pay-Per-View,7/21/2012,,7/21/2012,UFC 149: Faber vs Barao,7/21/2012,
Wednesday,7/11/2012,FALSE,FALSE,UFC on Fuel TV: Muoz vs. Weidman,7/11/2012,UFC on Fuel TV: Muoz vs. Weidman,7/11/2012,UFC on FUEL TV 4,7/11/2012,UFC on Fuel TV 4 - Munoz vs. Weidman,7/11/2012,UFC on FUEL TV: Munoz vs Weidman,7/11/2012,
Saturday,7/7/2012,FALSE,FALSE,UFC 148: Silva vs. Sonnen II,7/7/2012,UFC 148: Silva vs. Sonnen II,7/7/2012,UFC 148 Live on Pay-Per-View,7/7/2012,,7/7/2012,UFC 148: Silva vs Sonnen 2,7/7/2012,
Saturday,6/23/2012,FALSE,FALSE,UFC 147: Silva vs. Franklin II,6/23/2012,UFC 147: Silva vs. Franklin II,6/23/2012,UFC 147 Live on Pay-Per-View,6/23/2012,UFC 147 - Silva vs. Franklin 2,6/23/2012,UFC 147: Silva vs Franklin 2,6/23/2012,
Friday,6/22/2012,FALSE,FALSE,UFC on FX: Maynard vs. Guida,6/22/2012,UFC on FX: Maynard vs. Guida,6/22/2012,UFC on FX 4,6/22/2012,,6/22/2012,UFC on FX: Maynard vs Guida,6/22/2012,
Friday,6/8/2012,FALSE,FALSE,UFC on FX: Johnson vs. McCall,6/8/2012,UFC on FX: Johnson vs. McCall,6/8/2012,UFC on FX 3,6/8/2012,UFC on FX 3 - Johnson vs. McCall,6/8/2012,UFC on FX: Johnson vs McCall,6/8/2012,
Friday,6/1/2012,FALSE,FALSE,Ultimate Fighter 15: Live Finale,6/1/2012,Ultimate Fighter 15 !The Ultimate Fighter: Live Finale,6/1/2012,The Ultimate Fighter Live,6/1/2012,,6/1/2012,The Ultimate Fighter LIVE Finale,6/1/2012,
Saturday,5/26/2012,FALSE,FALSE,UFC 146: Dos Santos vs. Mir,5/26/2012,UFC 146: dos Santos vs. Mir,5/26/2012,UFC 146 Live on Pay-per-View,5/26/2012,UFC 146 - Dos Santos vs. Mir,5/26/2012,UFC 146: Dos Santos vs Mir,5/26/2012,
Tuesday,5/15/2012,FALSE,FALSE,UFC on Fuel TV: Korean Zombie vs. Poirier,5/15/2012,UFC on Fuel TV: Korean Zombie vs. Poirier,5/15/2012,UFC on FUEL TV 3,5/15/2012,,5/15/2012,UFC on FUEL TV: Korean Zombie vs Poirier,5/15/2012,
Saturday,5/5/2012,FALSE,FALSE,UFC on Fox: Diaz vs. Miller,5/5/2012,UFC on Fox: Diaz vs. Miller,5/5/2012,UFC on FOX 3,5/5/2012,UFC on Fox 3 - Diaz vs. Miller,5/5/2012,UFC on FOX: Diaz vs Miller,5/5/2012,
Saturday,4/21/2012,FALSE,FALSE,UFC 145: Jones vs. Evans,4/21/2012,UFC 145: Jones vs. Evans,4/21/2012,UFC 145 Live on Pay-Per-View,4/21/2012,,4/21/2012,UFC 145: Jones vs Evans,4/21/2012,
Saturday,4/14/2012,FALSE,FALSE,UFC on Fuel TV: Gustafsson vs. Silva,4/14/2012,UFC on Fuel TV: Gustafsson vs. Silva,4/14/2012,UFC on FUEL TV 2,4/14/2012,UFC on Fuel TV 2 - Gustafsson vs. Silva,4/14/2012,UFC on FUEL TV: Gustafsson vs Silva,4/14/2012,
Friday,3/2/2012,FALSE,FALSE,UFC on FX: Alves vs Kampmann,3/3/2012,UFC on FX: Alves vs. Kampmann,3/2/2012,UFC on FX 2,3/2/2012,,3/2/2012,UFC on FX: Alves vs Kampmann,3/2/2012,UFC on FX 2 Weigh-In Results
Saturday,2/25/2012,FALSE,FALSE,UFC 144: Edgar vs. Henderson,2/26/2012,UFC 144: Edgar vs. Henderson,2/25/2012,UFC 144 Live on Pay-Per-View,2/26/2012,UFC 144 - Edgar vs. Henderson,2/25/2012,UFC 144: Edgar vs Henderson,2/25/2012,
Wednesday,2/15/2012,FALSE,FALSE,UFC on Fuel TV: Sanchez vs. Ellenberger,2/15/2012,UFC on Fuel TV: Sanchez vs. Ellenberger,2/15/2012,UFC on FUEL TV 1,2/15/2012,,2/15/2012,UFC on FUEL TV: Sanchez vs Ellenberger,2/15/2012,
Saturday,2/4/2012,FALSE,FALSE,UFC 143: Diaz vs. Condit,2/4/2012,UFC 143: Diaz vs. Condit,2/4/2012,UFC 143 Live on Pay-Per-View,2/4/2012,UFC 143 - Diaz vs. Condit,2/4/2012,UFC 143: Diaz vs Condit,2/4/2012,
Saturday,1/28/2012,FALSE,FALSE,UFC on Fox: Evans vs. Davis,1/28/2012,UFC on Fox: Evans vs. Davis,1/28/2012,UFC on FOX 2,1/28/2012,,1/28/2012,UFC on FOX: Evans vs Davis,1/28/2012,
Friday,1/20/2012,FALSE,FALSE,UFC on FX: Guillard vs. Miller,1/20/2012,UFC on FX: Guillard vs. Miller,1/20/2012,UFC on FX 1,1/20/2012,UFC on FX - Guillard vs. Miller,1/20/2012,UFC on FX: Guillard vs Miller,1/20/2012,
Saturday,1/14/2012,FALSE,FALSE,UFC 142: Aldo vs. Mendes,1/14/2012,UFC 142: Aldo vs. Mendes,1/14/2012,UFC RIO,1/14/2012,,1/14/2012,UFC 142: Aldo vs Mendes,1/14/2012,
Friday,12/30/2011,FALSE,FALSE,UFC 141: Lesnar vs. Overeem,12/30/2011,UFC 141: Lesnar vs. Overeem,12/30/2011,UFC 141 Live on Pay-Per-View,12/30/2011,UFC 141 - Lesnar vs. Overeem,12/30/2011,UFC 141: Lesnar vs Overeem,12/30/2011,
Saturday,12/10/2011,FALSE,FALSE,UFC 140: Jones vs. Machida,12/10/2011,UFC 140: Jones vs. Machida,12/10/2011,UFC 140 Live on Pay-Per-View,12/10/2011,,12/10/2011,UFC 140: Jones vs Machida,12/10/2011,Jon Jones Smiles at the Haters at UFC 140 Weigh-Ins
Saturday,12/3/2011,FALSE,FALSE,Ultimate Fighter 14: Team Bisping vs. Team Miller Finale,12/3/2011,Ultimate Fighter 14 !The Ultimate Fighter: Team Bisping vs. Team Miller Finale,12/3/2011,The Ultimate Fighter 14 Finale,12/3/2011,UFC - The Ultimate Fighter 14 Finale,12/3/2011,The Ultimate Fighter 14 Finale: Team Bisping vs Team Miller,12/3/2011,Michael Bisping Makes TUF 14 Finale Weigh-Ins a Memorable Affair
,11/19/2011,FALSE,FALSE,UFC 139: Henderson vs. Shogun,11/19/2011,UFC 139: Shogun vs. Henderson,11/19/2011,UFC 139 Live on Pay-Per-View,11/19/2011,,11/19/2011,UFC 139: Shogun vs Henderson,11/19/2011,
Saturday,11/12/2011,FALSE,FALSE,UFC on Fox: Velasquez vs. dos Santos,11/12/2011,UFC on Fox: Velasquez vs. dos Santos,11/12/2011,UFC on Fox 1,11/12/2011,UFC on Fox 1 - Velasquez vs. Dos Santos,11/12/2011,UFC on Fox: Velasquez vs Dos Santos,11/12/2011,
Saturday,11/5/2011,FALSE,FALSE,UFC 138: Leben vs. Muoz,11/5/2011,UFC 138: Leben vs. Muoz,11/5/2011,UFC 138,11/5/2011,,11/5/2011,UFC 138: Leben vs Munoz,11/5/2011,
Saturday,10/29/2011,FALSE,FALSE,UFC 137: Penn vs. Diaz,10/29/2011,UFC 137: Penn vs. Diaz,10/29/2011,UFC 137 Live on Pay-Per-View,10/29/2011,UFC 137 - Penn vs. Diaz,10/29/2011,UFC 137: Penn vs Diaz,10/29/2011,
Saturday,10/8/2011,FALSE,FALSE,UFC 136: Edgar vs. Maynard III,10/8/2011,UFC 136: Edgar vs. Maynard III,10/8/2011,UFC 136 Live on Pay Per View,10/8/2011,,10/8/2011,UFC 136: Edgar vs Maynard 3,10/8/2011,
Saturday,10/1/2011,FALSE,FALSE,UFC Live 5: Cruz vs. Johnson,10/1/2011,UFC Live: Cruz vs. Johnson,10/1/2011,UFC LIVE 6,10/1/2011,UFC Live 6 - Cruz vs. Johnson,10/1/2011,UFC LIVE 6: Cruz vs Johnson,10/1/2011,
Saturday,9/24/2011,FALSE,FALSE,UFC 135: Jones vs. Rampage,9/24/2011,UFC 135: Jones vs. Rampage,9/24/2011,UFC 135 Live on Pay Per View,9/24/2011,,9/24/2011,UFC 135: Jones vs Rampage,9/24/2011,
Saturday,9/17/2011,FALSE,FALSE,UFC Fight Night 25: Shields vs. Ellenberger,9/17/2011,UFC Fight Night 25 !UFC Fight Night: Shields vs. Ellenberger,9/17/2011,UFC Fight Night Live,9/17/2011,UFC Fight Night 25 - Shields vs. Ellenberger,9/17/2011,UFC Fight Night Live: Shields vs Ellenberger,9/17/2011,
Saturday,8/27/2011,FALSE,FALSE,UFC 134: Silva vs. Okami,8/27/2011,UFC 134: Silva vs. Okami,8/27/2011,UFC RIO Live on Pay-Per-View,8/27/2011,,8/27/2011,UFC 134: Silva vs Okami,8/27/2011,
Sunday,8/14/2011,FALSE,FALSE,UFC Live: Hardy vs. Lytle,8/14/2011,UFC Live: Hardy vs. Lytle,8/14/2011,UFC LIVE 5,8/14/2011,UFC Live 5 - Hardy vs. Lytle,8/14/2011,UFC LIVE 5: Hardy vs Lytle,8/14/2011,
Saturday,8/6/2011,FALSE,FALSE,UFC 133: Evans vs. Ortiz,8/6/2011,UFC 133: Evans vs. Ortiz,8/6/2011,UFC 133 Live on Pay-Per-View,8/6/2011,,8/6/2011,UFC 133: Evans vs Ortiz 2,8/6/2011,
Saturday,7/2/2011,FALSE,FALSE,UFC 132: Cruz vs. Faber,7/2/2011,UFC 132: Cruz vs. Faber,7/2/2011,UFC 132,7/2/2011,UFC 132 - Cruz vs. Faber 2,7/2/2011,UFC 132: Cruz vs Faber,7/2/2011,UFC 132 Weigh-In Results
Sunday,6/26/2011,FALSE,FALSE,UFC Live 4: Kongo vs. Barry,6/26/2011,UFC Live: Kongo vs. Barry,6/26/2011,UFC Live on Versus,6/26/2011,,6/26/2011,UFC Live on Versus: Kongo vs Barry,6/26/2011,
Saturday,6/11/2011,FALSE,FALSE,UFC 131: dos Santos vs. Carwin,6/11/2011,UFC 131: dos Santos vs. Carwin,6/11/2011,UFC 131,6/11/2011,UFC 131 - Dos Santos vs. Carwin,6/11/2011,UFC 131: Dos Santos vs Carwin,6/11/2011,
Saturday,6/4/2011,FALSE,FALSE,Ultimate Fighter 13: Team Lesnar vs. Team dos Santos Finale,6/4/2011,Ultimate Fighter 13 !The Ultimate Fighter: Team Lesnar vs. Team dos Santos Finale,6/4/2011,The Ultimate Fighter Finale,6/4/2011,,6/4/2011,The Ultimate Fighter Finale: Team Lesnar vs Team Dos Santos,6/4/2011,
Saturday,5/28/2011,FALSE,FALSE,UFC 130: Rampage vs. Hamill,5/28/2011,UFC 130: Rampage vs. Hamill,5/28/2011,UFC 130,5/28/2011,UFC 130 - Rampage vs. Hamill,5/28/2011,UFC 130: Rampage vs Hamill,5/28/2011,
Saturday,4/30/2011,FALSE,FALSE,UFC 129: St-Pierre vs. Shields,4/30/2011,UFC 129: St-Pierre vs. Shields,4/30/2011,UFC 129,4/30/2011,,4/30/2011,UFC 129: St-Pierre vs Shields,4/30/2011,
Saturday,3/26/2011,FALSE,FALSE,UFC Fight Night 24: Nogueira vs. Davis,3/26/2011,UFC Fight Night 24 !UFC Fight Night: Nogueira vs. Davis,3/26/2011,UFC Fight Night Live,3/26/2011,UFC Fight Night 24 - Nogueira vs. Davis,3/26/2011,UFC Fight Night Live: Nogueira vs Davis,3/26/2011,
Saturday,3/19/2011,FALSE,FALSE,UFC 128: Shogun vs. Jones,3/19/2011,UFC 128: Shogun vs. Jones,3/19/2011,UFC 128,3/19/2011,,3/19/2011,UFC 128: Shogun vs Jones,3/19/2011,
Thursday,3/3/2011,FALSE,FALSE,UFC Live 3: Sanchez vs. Kampmann,3/3/2011,UFC Live: Sanchez vs. Kampmann,3/3/2011,UFC on VERSUS,3/3/2011,UFC Live 3 - Sanchez vs. Kampmann,3/3/2011,UFC on VERSUS: Sanchez vs Kampmann,3/3/2011,UFC on Versus 3 Weigh-In Results
Saturday,2/26/2011,FALSE,FALSE,UFC 127: Penn vs. Fitch,2/27/2011,UFC 127: Penn vs. Fitch,2/26/2011,UFC 127,2/26/2011,,2/26/2011,UFC 127: Penn vs Fitch,2/26/2011,
Saturday,2/5/2011,FALSE,FALSE,UFC 126: Silva vs. Belfort,2/5/2011,UFC 126: Silva vs. Belfort,2/5/2011,UFC 126,2/5/2011,UFC 126 - Silva vs. Belfort,2/5/2011,UFC 126: Silva vs Belfort,2/5/2011,
Saturday,1/22/2011,FALSE,FALSE,UFC Fight Night 23: Fight for the Troops 2,1/22/2011,UFC Fight Night 23 !UFC: Fight for the Troops 2,1/22/2011,UFC Fight for the Troops 2,1/22/2011,,1/22/2011,UFC Fight Night: Fight for the Troops 2,1/22/2011,
Saturday,1/1/2011,FALSE,FALSE,UFC 125: Resolution,1/1/2011,UFC 125: Resolution,1/1/2011,UFC 125,1/1/2011,UFC 125 - Resolution,1/1/2011,UFC 125: Resolution,1/1/2011,
Thursday,12/16/2010,FALSE,FALSE,WEC 53: Henderson vs. Pettis,12/16/2010,,12/16/2010,,12/16/2010,WEC 53 - Henderson vs. Pettis,12/16/2010,,12/16/2010,
Saturday,12/11/2010,FALSE,FALSE,UFC 124: St-Pierre vs. Koscheck 2,12/11/2010,UFC 124: St-Pierre vs. Koscheck 2,12/11/2010,UFC 124,12/11/2010,,12/11/2010,UFC 124: St-Pierre vs Koscheck 2,12/11/2010,
Saturday,12/4/2010,FALSE,FALSE,Ultimate Fighter 12: Team GSP vs. Team Koscheck Finale,12/4/2010,Ultimate Fighter 12 !The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,12/4/2010,The Ultimate Fighter 12,12/4/2010,UFC - The Ultimate Fighter 12 Finale,12/4/2010,The Ultimate Fighter 12: Team GSP vs Team Koscheck,12/4/2010,
Saturday,11/20/2010,FALSE,FALSE,UFC 123: Rampage vs. Machida,11/20/2010,UFC 123: Rampage vs. Machida,11/20/2010,UFC 123,11/20/2010,,11/20/2010,UFC 123: Rampage vs Machida,11/20/2010,
Saturday,11/13/2010,FALSE,FALSE,UFC 122: Marquardt vs. Okami,11/13/2010,UFC 122: Marquardt vs. Okami,11/13/2010,UFC 122,11/13/2010,UFC 122 - Marquardt vs. Okami,11/13/2010,UFC 122: Marquardt vs Okami,11/13/2010,
Saturday,10/23/2010,FALSE,FALSE,UFC 121: Lesnar vs. Velasquez,10/23/2010,UFC 121: Lesnar vs. Velasquez,10/23/2010,UFC 121,10/23/2010,,10/23/2010,UFC 121: Lesnar vs Velasquez,10/23/2010,
Saturday,10/16/2010,FALSE,FALSE,UFC 120: Bisping vs. Akiyama,10/16/2010,UFC 120: Bisping vs. Akiyama,10/16/2010,UFC 120 - Bisping vs Akiyama,10/16/2010,UFC 120 - Bisping vs. Akiyama,10/16/2010,UFC 120: Bisping vs Akiyama,10/16/2010,
Thursday,9/30/2010,FALSE,FALSE,WEC 51: Aldo vs. Gamburyan,9/30/2010,,9/30/2010,,9/30/2010,WEC 51 - Aldo vs. Gamburyan,9/30/2010,,9/30/2010,
Saturday,9/25/2010,FALSE,FALSE,UFC 119: Mir vs. Cro Cop,9/25/2010,UFC 119: Mir vs. Cro Cop,9/25/2010,UFC 119,9/25/2010,,9/25/2010,UFC 119: Mir vs Cro Cop,9/25/2010,
Wednesday,9/15/2010,FALSE,FALSE,UFC Fight Night 22: Marquardt vs. Palhares,9/15/2010,UFC Fight Night 22 !UFC Fight Night: Marquardt vs. Palhares,9/15/2010,UFC Fight Night:,9/15/2010,UFC Fight Night 22 - Marquardt vs. Palhares,9/15/2010,UFC Fight Night: Marquardt vs Palhares,9/15/2010,
Saturday,8/28/2010,FALSE,FALSE,UFC 118: Edgar vs. Penn 2,8/28/2010,UFC 118: Edgar vs. Penn 2,8/28/2010,UFC 118,8/28/2010,,8/28/2010,UFC 118: Edgar vs Penn 2,8/28/2010,
