Day of Week,Date,d1,d2,Event,Date Wikipedia,Event Wikipedia,Date UFC,Event UFC,Date Sherdog,Event Sherdog,Date Fightmetric,Event Fightmetric,Date MMAFighting,Event MMAFighting
Saturday,2017-05-13,False,False,UFC 211: Miocic vs. dos Santos 2,5/13/2017,UFC 211: Miocic vs. dos Santos 2,5/13/2017,UFC 211 - Miocic vs Dos Santos 2,5/13/2017,UFC 211 - Miocic vs. Dos Santos 2,5/13/2017,UFC 211: Miocic vs. Dos Santos,5/13/2017,UFC 211
Saturday,2017-04-22,False,False,UFC Fight Night: Swanson vs. Lobov,4/22/2017,UFC Fight Night: Swanson vs. Lobov,4/22/2017,UFC Fight Night - Swanson vs. Lobov,4/22/2017,,4/22/2017,UFC Fight Night: Swanson vs. Lobov,4/22/2017,UFC Fight Night 108
Saturday,2017-04-15,False,False,UFC on Fox: Johnson vs. Reis,4/15/2017,UFC on Fox: Johnson vs. Reis,4/15/2017,UFC Fight Night - Johnson vs Reis,4/15/2017,UFC on Fox 24 - Johnson vs. Reis,4/15/2017,UFC Fight Night: Johnson vs. Reis,4/15/2017,UFC on FOX 24
Saturday,2017-04-08,False,False,UFC 210: Cormier vs. Johnson 2,4/8/2017,UFC 210: Cormier vs. Johnson 2,4/8/2017,UFC 210 - Cormier vs Johnson 2,4/8/2017,,4/8/2017,UFC 210: Cormier vs. Johnson 2,4/8/2017,UFC 210
Saturday,2017-03-18,False,False,UFC Fight Night: Manuwa vs. Anderson,3/18/2017,UFC Fight Night: Manuwa vs. Anderson,3/18/2017,UFC Fight Night - Manuwa vs Anderson,3/18/2017,UFC Fight Night 107 - Manuwa vs. Anderson,3/18/2017,UFC Fight Night: Manuwa vs. Anderson,3/18/2017,UFC Fight Night 107
Saturday,2017-03-11,False,False,UFC Fight Night: Belfort vs. Gastelum,3/11/2017,UFC Fight Night: Belfort vs. Gastelum,3/11/2017,UFC Fight Night - Belfort vs Gastelum,3/11/2017,,3/11/2017,UFC Fight Night: Belfort vs. Gastelum,3/11/2017,UFC Fight Night 106
Saturday,2017-03-04,False,False,UFC 209: Woodley vs. Thompson 2,3/4/2017,UFC 209: Woodley vs. Thompson 2,3/4/2017,UFC 209 - Woodley vs Thompson 2,3/4/2017,UFC 209 - Woodley vs. Thompson 2,3/4/2017,UFC 209: Woodley vs. Thompson 2,3/4/2017,UFC 209
Sunday,2017-02-19,False,False,UFC Fight Night: Lewis vs. Browne,2/19/2017,UFC Fight Night: Lewis vs. Browne,2/19/2017,UFC Fight Night - Lewis vs Browne,2/19/2017,,2/19/2017,UFC Fight Night: Lewis vs. Browne,2/19/2017,UFC Fight Night 105
Saturday,2017-02-11,False,False,UFC 208: Holm vs. de Randamie,2/11/2017,UFC 208: Holm vs. de Randamie,2/11/2017,UFC 208 - Holm vs de Randamie,2/11/2017,UFC 208 - Holm vs. De Randamie,2/11/2017,UFC 208: Holm vs. De Randamie,2/11/2017,UFC 208
Saturday,2017-02-04,False,False,UFC Fight Night: Bermudez vs. Korean Zombie,2/4/2017,UFC Fight Night: Bermudez vs. Korean Zombie,2/4/2017,UFC Fight Night - Bermudez vs Korean Zombie,2/4/2017,,2/4/2017,UFC Fight Night: Bermudez vs. The Korean Zombie,2/4/2017,Bec Rawlings explains why she missed weight at UFC Fight Night 104
Saturday,2017-01-28,False,False,UFC on Fox: Shevchenko vs. Pea,1/28/2017,UFC on Fox: Shevchenko vs. Pea,1/28/2017,UFC Fight Night - Shevchenko vs Pena,1/28/2017,UFC on Fox 23 - Shevchenko vs. Pena,1/28/2017,UFC Fight Night: Shevchenko vs. Pena,1/28/2017,UFC on FOX 23
Sunday,2017-01-15,False,False,UFC Fight Night: Rodrguez vs. Penn,1/15/2017,UFC Fight Night: Rodrguez vs. Penn,1/15/2017,UFC Fight Night - Rodriguez vs Penn,1/15/2017,,1/15/2017,UFC Fight Night: Rodriguez vs. Penn,1/15/2017,UFC Fight Night 103
Friday,2016-12-30,False,False,UFC 207: Nunes vs. Rousey,12/30/2016,UFC 207: Nunes vs. Rousey,12/30/2016,UFC 207 - Nunes vs Rousey,12/30/2016,UFC 207 - Nunes vs. Rousey,12/30/2016,UFC 207: Nunes vs. Rousey,12/30/2016,
Saturday,2016-12-17,False,False,UFC on Fox: VanZant vs. Waterson,12/17/2016,UFC on Fox: VanZant vs. Waterson,12/17/2016,UFC Fight Night - VanZant vs Waterson,12/17/2016,,12/17/2016,UFC Fight Night: VanZant vs. Waterson,12/17/2016,UFC on FOX 22
Saturday,2016-12-10,False,False,UFC 206: Holloway vs. Pettis,12/10/2016,UFC 206: Holloway vs. Pettis,12/10/2016,UFC 206 - Holloway vs Pettis,12/10/2016,UFC 206 - Holloway vs. Pettis,12/10/2016,UFC 206: Holloway vs. Pettis,12/10/2016,UFC 206
Friday,2016-12-09,False,False,UFC Fight Night: Lewis vs. Abdurakhimov,12/9/2016,UFC Fight Night: Lewis vs. Abdurakhimov,12/9/2016,UFC Fight Night - Lewis vs Abdurakhimov,12/9/2016,,12/9/2016,UFC Fight Night: Lewis vs. Abdurakhimov,12/9/2016,
Saturday,2016-12-03,False,False,The Ultimate Fighter: Tournament of Champions Finale,12/3/2016,The Ultimate Fighter: Tournament of Champions Finale,12/3/2016,The Ultimate Fighter - A Tournament of Champions Finale,12/3/2016,UFC - The Ultimate Fighter 24 Finale,12/3/2016,The Ultimate Fighter 24 Finale,12/3/2016,TUF 24 Finale
Saturday,2016-11-26,False,False,UFC Fight Night: Whittaker vs. Brunson,11/27/2016,UFC Fight Night: Whittaker vs. Brunson,11/26/2016,UFC Fight Night - Whittaker vs Brunson,11/26/2016,,11/26/2016,UFC Fight Night: Whittaker vs. Brunson,11/26/2016,UFC Fight Night 101
Saturday,2016-11-19,True,True,UFC Fight Night: Mousasi vs. Hall 2,11/19/2016,UFC Fight Night: Mousasi vs. Hall 2,11/19/2016,UFC Fight Night - Mousasi vs Hall 2,11/19/2016,,11/19/2016,UFC Fight Night: Mousasi vs. Hall 2,11/19/2016,UFC Fight Night 99
Saturday,2016-11-19,True,True,UFC Fight Night: Bader vs. Nogueira 2,11/19/2016,UFC Fight Night: Bader vs. Nogueira 2,11/19/2016,UFC Fight Night - Bader vs Nogueira 2,11/19/2016,UFC Fight Night 100 - Bader vs. Nogueira 2,11/19/2016,UFC Fight Night: Bader vs. Nogueira,11/19/2016,UFC Fight Night 100
Saturday,2016-11-12,False,False,UFC 205: Alvarez vs. McGregor,11/12/2016,UFC 205: Alvarez vs. McGregor,11/12/2016,UFC 205 - Alvarez vs McGregor,11/12/2016,UFC 205 - Alvarez vs. McGregor,11/12/2016,UFC 205: Alvarez vs McGregor,11/12/2016,UFC 205
Saturday,2016-11-05,False,False,The Ultimate Fighter Latin America 3 Finale: dos Anjos vs. Ferguson,11/5/2016,The Ultimate Fighter Latin America 3 Finale: dos Anjos vs. Ferguson,11/5/2016,UFC Fight Night - Dos Anjos vs Ferguson,11/5/2016,,11/5/2016,UFC Fight Night: Dos Anjos vs. Ferguson,11/5/2016,UFC Fight Night 98
