Day of Week,Date,d1,d2,Event,Date Wikipedia,Event Wikipedia,Date UFC,Event UFC,Date Fightmetric,Event Fightmetric,Date MMAFighting,Event MMAFighting,Date Sherdog,Event Sherdog
Saturday,12/4/2010,FALSE,FALSE,Ultimate Fighter 12: Team GSP vs. Team Koscheck Finale,12/4/2010,Ultimate Fighter 12 !The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,12/4/2010,The Ultimate Fighter 12,12/4/2010,The Ultimate Fighter 12: Team GSP vs Team Koscheck,12/4/2010,The Ultimate Fighter 12 Finale Weigh-in Results,12/4/2010,UFC - The Ultimate Fighter 12 Finale
Saturday,11/20/2010,FALSE,FALSE,UFC 123: Rampage vs. Machida,11/20/2010,UFC 123: Rampage vs. Machida,11/20/2010,UFC 123,11/20/2010,UFC 123: Rampage vs Machida,11/20/2010,UFC 123 Weigh-In Results,11/20/2010,UFC 123 - Rampage vs. Machida
Saturday,11/13/2010,FALSE,FALSE,UFC 122: Marquardt vs. Okami,11/13/2010,UFC 122: Marquardt vs. Okami,11/13/2010,UFC 122,11/13/2010,UFC 122: Marquardt vs Okami,11/13/2010,UFC 122 Weigh-In Results,11/13/2010,UFC 122 - Marquardt vs. Okami
Saturday,10/23/2010,FALSE,FALSE,UFC 121: Lesnar vs. Velasquez,10/23/2010,UFC 121: Lesnar vs. Velasquez,10/23/2010,UFC 121,10/23/2010,UFC 121: Lesnar vs Velasquez,10/23/2010,UFC 121 Weigh-In Results,10/23/2010,UFC 121 - Lesnar vs. Velasquez
Saturday,10/16/2010,FALSE,FALSE,UFC 120: Bisping vs. Akiyama,10/16/2010,UFC 120: Bisping vs. Akiyama,10/16/2010,UFC 120 - Bisping vs Akiyama,10/16/2010,UFC 120: Bisping vs Akiyama,10/16/2010,UFC 120 Weigh-In Results,10/16/2010,UFC 120 - Bisping vs. Akiyama
Thursday,9/30/2010,FALSE,FALSE,WEC 51: Aldo vs. Gamburyan,9/30/2010,,9/30/2010,,9/30/2010,,9/30/2010,,9/30/2010,WEC 51 - Aldo vs. Gamburyan
Saturday,9/25/2010,FALSE,FALSE,UFC 119: Mir vs. Cro Cop,9/25/2010,UFC 119: Mir vs. Cro Cop,9/25/2010,UFC 119,9/25/2010,UFC 119: Mir vs Cro Cop,9/25/2010,UFC 119 Weigh-In Results,9/25/2010,UFC 119 - Mir vs. Cro Cop
Wednesday,9/15/2010,FALSE,FALSE,UFC Fight Night 22: Marquardt vs. Palhares,9/15/2010,UFC Fight Night 22 !UFC Fight Night: Marquardt vs. Palhares,9/15/2010,UFC Fight Night:,9/15/2010,UFC Fight Night: Marquardt vs Palhares,9/15/2010,UFC Fight Night 22 Weigh-In Results,9/15/2010,UFC Fight Night 22 - Marquardt vs. Palhares
Saturday,8/28/2010,FALSE,FALSE,UFC 118: Edgar vs. Penn 2,8/28/2010,UFC 118: Edgar vs. Penn 2,8/28/2010,UFC 118,8/28/2010,UFC 118: Edgar vs Penn 2,8/28/2010,UFC 118 Weigh-In Results,8/28/2010,UFC 118 - Edgar vs. Penn 2
Saturday,8/7/2010,FALSE,FALSE,UFC 117: Silva vs. Sonnen,8/7/2010,UFC 117: Silva vs. Sonnen,8/7/2010,UFC 117,8/7/2010,UFC 117: Silva vs Sonnen,8/7/2010,UFC 117 Weigh-In Results,8/7/2010,UFC 117 - Silva vs. Sonnen
Sunday,8/1/2010,FALSE,FALSE,UFC Live 2: Jones vs. Matyushenko,8/1/2010,UFC Live: Jones vs. Matyushenko,8/1/2010,UFC LIVE,8/1/2010,UFC LIVE: Jones vs Matyushenko,8/1/2010,UFC on Versus 2 Weigh-In Results,8/1/2010,UFC Live 2 - Jones vs. Matyushenko
Saturday,7/3/2010,FALSE,FALSE,UFC 116: Lesnar vs. Carwin,7/3/2010,UFC 116: Lesnar vs. Carwin,7/3/2010,UFC 116,7/3/2010,UFC 116: Lesnar vs Carwin,7/3/2010,UFC 116 Weigh-In Results,7/3/2010,UFC 116 - Lesnar vs. Carwin
Sunday,6/20/2010,FALSE,FALSE,WEC 49: Varner vs. Shalorus,6/20/2010,,6/20/2010,,6/20/2010,,6/20/2010,,6/20/2010,WEC 49 - Varner vs. Shalorus
Saturday,6/19/2010,FALSE,FALSE,Ultimate Fighter 11: Team Liddell vs. Team Ortiz Finale,6/19/2010,Ultimate Fighter 11 !The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,6/19/2010,The Ultimate Fighter FINALE,6/19/2010,The Ultimate Fighter FINALE: Team Liddell vs Team Ortiz,6/19/2010,TUF 11 Finale Weigh-In Results,6/19/2010,UFC - The Ultimate Fighter 11 Finale
Saturday,6/12/2010,FALSE,FALSE,UFC 115: Liddell vs. Franklin,6/12/2010,UFC 115: Liddell vs. Franklin,6/12/2010,UFC 115,6/12/2010,UFC 115: Liddell vs Franklin,6/12/2010,UFC 115 Weigh-in Results,6/12/2010,UFC 115 - Liddell vs. Franklin
Saturday,5/29/2010,FALSE,FALSE,UFC 114: Rampage vs. Evans,5/29/2010,UFC 114: Rampage vs. Evans,5/29/2010,UFC 114,5/29/2010,UFC 114: Rampage vs Evans,5/29/2010,,5/29/2010,UFC 114 - Rampage vs. Evans
Saturday,5/8/2010,FALSE,FALSE,UFC 113: Machida vs. Shogun 2,5/8/2010,UFC 113: Machida vs. Shogun 2,5/8/2010,UFC 113,5/8/2010,UFC 113: Machida vs Shogun 2,5/8/2010,UFC 113 Weigh-in Results,5/8/2010,UFC 113 - Machida vs. Shogun 2
Saturday,4/10/2010,FALSE,FALSE,UFC 112: Invincible,4/10/2010,UFC 112: Invincible,4/10/2010,,4/10/2010,UFC 112: Invincible,4/10/2010,,4/10/2010,UFC 112 - Invincible
Wednesday,3/31/2010,FALSE,FALSE,UFC Fight Night 21: Florian vs. Gomi,3/31/2010,UFC Fight Night 21 !UFC Fight Night: Florian vs. Gomi,3/31/2010,UFC Fight Night 21,3/31/2010,UFC Fight Night: Florian vs Gomi,3/31/2010,UFC Fight Night 21: Florian vs. Gomi Weigh-in Results,3/31/2010,UFC Fight Night 21 - Florian vs. Gomi
