Day of Week,Date,d1,d2,Event,Date Wikipedia,Event Wikipedia,Date UFC,Event UFC,Date Fightmetric,Event Fightmetric,Date MMAFighting,Event MMAFighting,Date Sherdog,Event Sherdog
Saturday,2/11/2017,FALSE,FALSE,UFC 208: Holm vs. de Randamie,2/11/2017,UFC 208: Holm vs. de Randamie,2/11/2017,UFC 208 - Holm vs de Randamie,2/11/2017,UFC 208: Holm vs. De Randamie,2/11/2017,UFC 208,2/11/2017,UFC 208 - Holm vs. De Randamie
Saturday,2/4/2017,FALSE,FALSE,UFC Fight Night: Bermudez vs. Korean Zombie,2/4/2017,UFC Fight Night: Bermudez vs. Korean Zombie,2/4/2017,UFC Fight Night - Bermudez vs Korean Zombie,2/4/2017,UFC Fight Night: Bermudez vs. The Korean Zombie,2/4/2017,Bec Rawlings explains why she missed weight at UFC Fight Night 104,2/4/2017,UFC Fight Night 104 - Bermudez vs. Korean Zombie
Saturday,1/28/2017,FALSE,FALSE,UFC on Fox: Shevchenko vs. Pea,1/28/2017,UFC on Fox: Shevchenko vs. Pea,1/28/2017,UFC Fight Night - Shevchenko vs Pena,1/28/2017,UFC Fight Night: Shevchenko vs. Pena,1/28/2017,UFC on FOX 23,1/28/2017,UFC on Fox 23 - Shevchenko vs. Pena
Sunday,1/15/2017,FALSE,FALSE,UFC Fight Night: Rodrguez vs. Penn,1/15/2017,UFC Fight Night: Rodrguez vs. Penn,1/15/2017,UFC Fight Night - Rodriguez vs Penn,1/15/2017,UFC Fight Night: Rodriguez vs. Penn,1/15/2017,UFC Fight Night 103,1/15/2017,UFC Fight Night 103 - Rodriguez vs. Penn
Friday,12/30/2016,FALSE,FALSE,UFC 207: Nunes vs. Rousey,12/30/2016,UFC 207: Nunes vs. Rousey,12/30/2016,UFC 207 - Nunes vs Rousey,12/30/2016,UFC 207: Nunes vs. Rousey,12/30/2016,,12/30/2016,UFC 207 - Nunes vs. Rousey
Saturday,12/17/2016,FALSE,FALSE,UFC on Fox: VanZant vs. Waterson,12/17/2016,UFC on Fox: VanZant vs. Waterson,12/17/2016,UFC Fight Night - VanZant vs Waterson,12/17/2016,UFC Fight Night: VanZant vs. Waterson,12/17/2016,UFC on FOX 22,12/17/2016,UFC on Fox 22 - VanZant vs. Waterson
Saturday,12/10/2016,FALSE,FALSE,UFC 206: Holloway vs. Pettis,12/10/2016,UFC 206: Holloway vs. Pettis,12/10/2016,UFC 206 - Holloway vs Pettis,12/10/2016,UFC 206: Holloway vs. Pettis,12/10/2016,UFC 206,12/10/2016,UFC 206 - Holloway vs. Pettis
Friday,12/9/2016,FALSE,FALSE,UFC Fight Night: Lewis vs. Abdurakhimov,12/9/2016,UFC Fight Night: Lewis vs. Abdurakhimov,12/9/2016,UFC Fight Night - Lewis vs Abdurakhimov,12/9/2016,UFC Fight Night: Lewis vs. Abdurakhimov,12/9/2016,,12/9/2016,UFC Fight Night 102 - Lewis vs. Abdurakhimov
Saturday,12/3/2016,FALSE,FALSE,The Ultimate Fighter: Tournament of Champions Finale,12/3/2016,The Ultimate Fighter: Tournament of Champions Finale,12/3/2016,The Ultimate Fighter - A Tournament of Champions Finale,12/3/2016,The Ultimate Fighter 24 Finale,12/3/2016,TUF 24 Finale,12/3/2016,UFC - The Ultimate Fighter 24 Finale
Saturday,11/26/2016,FALSE,FALSE,UFC Fight Night: Whittaker vs. Brunson,11/27/2016,UFC Fight Night: Whittaker vs. Brunson,11/26/2016,UFC Fight Night - Whittaker vs Brunson,11/26/2016,UFC Fight Night: Whittaker vs. Brunson,11/26/2016,UFC Fight Night 101,11/26/2016,UFC Fight Night 101 - Whittaker vs. Brunson
Saturday,11/19/2016,TRUE,TRUE,UFC Fight Night: Mousasi vs. Hall 2,11/19/2016,UFC Fight Night: Mousasi vs. Hall 2,11/19/2016,UFC Fight Night - Mousasi vs Hall 2,11/19/2016,UFC Fight Night: Mousasi vs. Hall 2,11/19/2016,UFC Fight Night 99,11/19/2016,UFC Fight Night 99 - Mousasi vs. Hall 2
Saturday,11/19/2016,TRUE,TRUE,UFC Fight Night: Bader vs. Nogueira 2,11/19/2016,UFC Fight Night: Bader vs. Nogueira 2,11/19/2016,UFC Fight Night - Bader vs Nogueira 2,11/19/2016,UFC Fight Night: Bader vs. Nogueira,11/19/2016,UFC Fight Night 100,11/19/2016,UFC Fight Night 100 - Bader vs. Nogueira 2
Saturday,11/12/2016,FALSE,FALSE,UFC 205: Alvarez vs. McGregor,11/12/2016,UFC 205: Alvarez vs. McGregor,11/12/2016,UFC 205 - Alvarez vs McGregor,11/12/2016,UFC 205: Alvarez vs McGregor,11/12/2016,UFC 205,11/12/2016,UFC 205 - Alvarez vs. McGregor
Saturday,11/5/2016,FALSE,FALSE,The Ultimate Fighter Latin America 3 Finale: dos Anjos vs. Ferguson,11/5/2016,The Ultimate Fighter Latin America 3 Finale: dos Anjos vs. Ferguson,11/5/2016,UFC Fight Night - Dos Anjos vs Ferguson,11/5/2016,UFC Fight Night: Dos Anjos vs. Ferguson,11/5/2016,UFC Fight Night 98,11/5/2016,UFC Fight Night 98 - Dos Anjos vs. Ferguson
Saturday,10/15/2016,FALSE,FALSE,UFC Fight Night: Lamas vs. Penn,10/15/2016,UFC Fight Night: Lamas vs. Penn,10/15/2016,,10/15/2016,,10/15/2016,,10/15/2016,
Saturday,10/8/2016,FALSE,FALSE,UFC 204: Bisping vs. Henderson 2,10/8/2016,UFC 204: Bisping vs. Henderson 2,10/8/2016,UFC 204 - Bisping vs Henderson,10/8/2016,UFC 204: Bisping vs. Henderson,10/8/2016,UFC 204,10/8/2016,UFC 204 - Bisping vs. Henderson 2
Saturday,10/1/2016,FALSE,FALSE,UFC Fight Night: Lineker vs. Dodson,10/1/2016,UFC Fight Night: Lineker vs. Dodson,10/1/2016,UFC Fight Night - Lineker vs Dodson,10/1/2016,UFC Fight Night: Lineker vs. Dodson,10/1/2016,UFC Fight Night 96,10/1/2016,UFC Fight Night 96 - Lineker vs. Dodson
Saturday,9/24/2016,FALSE,FALSE,UFC Fight Night: Cyborg vs. Lansberg,9/24/2016,UFC Fight Night: Cyborg vs. Lansberg,9/24/2016,UFC Fight Night - Cyborg vs Lansberg,9/24/2016,UFC Fight Night: Cyborg vs. Lansberg,9/24/2016,UFC Fight Night 95,9/24/2016,UFC Fight Night 95 - Cyborg vs. Lansberg
Saturday,9/17/2016,FALSE,FALSE,UFC Fight Night: Poirier vs. Johnson,9/17/2016,UFC Fight Night: Poirier vs. Johnson,9/17/2016,UFC Fight Night - Poirier vs Johnson,9/17/2016,UFC Fight Night: Poirier vs. Johnson,9/17/2016,UFC Fight Night 94,9/17/2016,UFC Fight Night 94 - Poirier vs. Johnson
Saturday,9/10/2016,FALSE,FALSE,UFC 203: Miocic vs. Overeem,9/10/2016,UFC 203: Miocic vs. Overeem,9/10/2016,UFC 203 - Miocic vs. Overeem,9/10/2016,UFC 203: Miocic vs. Overeem,9/10/2016,UFC 203,9/10/2016,UFC 203 - Miocic vs. Overeem
Saturday,9/3/2016,FALSE,FALSE,UFC Fight Night: Arlovski vs. Barnett,9/3/2016,UFC Fight Night: Arlovski vs. Barnett,9/3/2016,UFC Fight Night - Arlovski vs Barnett,9/3/2016,UFC Fight Night: Arlovski vs. Barnett,9/3/2016,UFC Fight Night 93,9/3/2016,UFC Fight Night 93 - Arlovski vs. Barnett
Saturday,8/27/2016,FALSE,FALSE,UFC on Fox: Maia vs. Condit,8/27/2016,UFC on Fox: Maia vs. Condit,8/27/2016,UFC Fight Night - Maia vs Condit,8/27/2016,UFC Fight Night: Maia vs. Condit,8/27/2016,UFC on FOX 21,8/27/2016,UFC on Fox 21 - Maia vs. Condit
Saturday,8/20/2016,FALSE,FALSE,UFC 202: Diaz vs. McGregor 2,8/20/2016,UFC 202: Diaz vs. McGregor 2,8/20/2016,UFC 202 - Diaz vs McGregor 2,8/20/2016,UFC 202: Diaz vs. McGregor 2,8/20/2016,"UFC 202, results",8/20/2016,UFC 202 - Diaz vs. McGregor 2
Saturday,8/6/2016,FALSE,FALSE,UFC Fight Night: Rodrguez vs. Caceres,8/6/2016,UFC Fight Night: Rodrguez vs. Caceres,8/6/2016,UFC Fight Night - Rodriguez vs Caceres,8/6/2016,UFC Fight Night: Rodriguez vs. Caceres,8/6/2016,UFC Fight Night 92,8/6/2016,UFC Fight Night 92 - Rodriguez vs. Caceres
Saturday,7/30/2016,FALSE,FALSE,UFC 201: Lawler vs. Woodley,7/30/2016,UFC 201: Lawler vs. Woodley,7/30/2016,UFC 201 - Lawler vs. Woodley,7/30/2016,UFC 201: Lawler vs. Woodley,7/30/2016,UFC 201,7/30/2016,UFC 201 - Lawler vs. Woodley
Saturday,7/23/2016,FALSE,FALSE,UFC on Fox: Holm vs. Shevchenko,7/23/2016,UFC on Fox: Holm vs. Shevchenko,7/23/2016,UFC Fight Night - Holm vs Shevchenko,7/23/2016,UFC Fight Night: Holm vs. Shevchenko,7/23/2016,UFC on FOX 20,7/23/2016,UFC on Fox 20 - Holm vs. Shevchenko
Wednesday,7/13/2016,FALSE,FALSE,UFC Fight Night: McDonald vs. Lineker,7/13/2016,UFC Fight Night: McDonald vs. Lineker,7/13/2016,UFC Fight Night - McDonald vs Lineker,7/13/2016,UFC Fight Night: McDonald vs. Lineker,7/13/2016,"UFC Fight Night 91, results",7/13/2016,UFC Fight Night 91 - McDonald vs. Lineker
Saturday,7/9/2016,FALSE,FALSE,UFC 200: Tate vs. Nunes,7/9/2016,UFC 200: Tate vs. Nunes,7/9/2016,UFC 200 - Tate vs Nunes,7/9/2016,UFC 200: Tate vs Nunes,7/9/2016,UFC 200,7/9/2016,UFC 200 - Tate vs. Nunes
Friday,7/8/2016,FALSE,FALSE,The Ultimate Fighter: Team Joanna vs. Team Cludia Finale,7/8/2016,The Ultimate Fighter: Team Joanna vs. Team Cludia Finale,7/8/2016,The Ultimate Fighter Finale - Team Joanna vs. Team Claudia,7/8/2016,The Ultimate Fighter 23 Finale,7/8/2016,TUF 23 Finale,7/8/2016,UFC  - The Ultimate Fighter 23 Finale
Thursday,7/7/2016,FALSE,FALSE,UFC Fight Night: dos Anjos vs. Alvarez,7/7/2016,UFC Fight Night: dos Anjos vs. Alvarez,7/7/2016,UFC Fight Night - Dos Anjos vs. Alvarez,7/7/2016,UFC Fight Night: Dos Anjos vs. Alvarez,7/7/2016,UFC Fight Night 90,7/7/2016,UFC Fight Night 90 - Dos Anjos vs. Alvarez
Saturday,6/18/2016,FALSE,FALSE,UFC Fight Night: MacDonald vs. Thompson,6/18/2016,UFC Fight Night: MacDonald vs. Thompson,6/18/2016,UFC Fight Night - MacDonald vs. Thompson,6/18/2016,UFC Fight Night: MacDonald vs Thompson,6/18/2016,UFC Fight Night 89,6/18/2016,UFC Fight Night 89 - MacDonald vs. Thompson
Saturday,6/4/2016,FALSE,FALSE,UFC 199: Rockhold vs. Bisping 2,6/4/2016,UFC 199: Rockhold vs. Bisping 2,6/4/2016,UFC 199 - Rockhold vs. Bisping 2,6/4/2016,UFC 199: Rockhold vs. Bisping 2,6/4/2016,UFC 199,6/4/2016,UFC 199 - Rockhold vs. Bisping 2
Sunday,5/29/2016,FALSE,FALSE,UFC Fight Night: Almeida vs. Garbrandt,5/29/2016,UFC Fight Night: Almeida vs. Garbrandt,5/29/2016,UFC Fight Night - Almeida vs. Garbrandt,5/29/2016,UFC Fight Night: Almeida vs Garbrandt,5/29/2016,UFC Fight Night 88,5/29/2016,UFC Fight Night 88 - Almeida vs. Garbrandt
Saturday,5/14/2016,FALSE,FALSE,UFC 198: Werdum vs. Miocic,5/14/2016,UFC 198: Werdum vs. Miocic,5/14/2016,UFC 198 - Werdum vs. Miocic,5/14/2016,UFC 198: Werdum vs Miocic,5/14/2016,UFC 198,5/14/2016,UFC 198 - Werdum vs. Miocic
Sunday,5/8/2016,FALSE,FALSE,UFC Fight Night: Overeem vs. Arlovski,5/8/2016,UFC Fight Night: Overeem vs. Arlovski,5/8/2016,UFC Fight Night - Overeem vs. Arlovski,5/8/2016,UFC Fight Night: Overeem vs Arlovski,5/8/2016,UFC Fight Night 87,5/8/2016,UFC Fight Night 87 - Overeem vs. Arlovski
Saturday,4/23/2016,FALSE,FALSE,UFC 197: Jones vs. Saint Preux,4/23/2016,UFC 197: Jones vs. Saint Preux,4/23/2016,UFC 197 - Jones vs. Saint Preux,4/23/2016,UFC 197: Jones vs Saint Preux,4/23/2016,UFC 197,4/23/2016,UFC 197 - Jones vs. St. Preux
Saturday,4/16/2016,FALSE,FALSE,UFC on Fox: Teixeira vs. Evans,4/16/2016,UFC on Fox: Teixeira vs. Evans,4/16/2016,UFC Fight Night - Teixeira vs. Evans,4/16/2016,UFC Fight Night: Teixeira vs Evans,4/16/2016,UFC on FOX 19,4/16/2016,UFC on Fox 19 - Teixeira vs. Evans
Sunday,4/10/2016,FALSE,FALSE,UFC Fight Night: Rothwell vs. dos Santos,4/10/2016,UFC Fight Night: Rothwell vs. dos Santos,4/10/2016,UFC Fight Night - Rothwell vs. Dos Santos,4/10/2016,UFC Fight Night: Rothwell vs Dos Santos,4/10/2016,UFC Fight Night 86,4/10/2016,UFC Fight Night 86 - Rothwell vs. Dos Santos
Saturday,3/19/2016,FALSE,FALSE,UFC Fight Night: Hunt vs. Mir,3/20/2016,UFC Fight Night: Hunt vs. Mir,3/19/2016,UFC Fight Night - Hunt vs. Mir,3/19/2016,UFC Fight Night: Hunt vs Mir,3/19/2016,UFC Fight Night 85,3/19/2016,UFC Fight Night 85 - Hunt vs. Mir
Saturday,3/5/2016,FALSE,FALSE,UFC 196: McGregor vs. Diaz,3/5/2016,UFC 196: McGregor vs. Diaz,3/5/2016,UFC 196 - McGregor vs. Diaz,3/5/2016,UFC 196: McGregor vs Diaz,3/5/2016,UFC 196,3/5/2016,UFC 196 - McGregor vs. Diaz
Saturday,2/27/2016,FALSE,FALSE,UFC Fight Night: Silva vs. Bisping,2/27/2016,UFC Fight Night: Silva vs. Bisping,2/27/2016,UFC Fight Night - Silva vs. Bisping,2/27/2016,UFC Fight Night: Silva vs Bisping,2/27/2016,UFC Fight Night 84,2/27/2016,UFC Fight Night 84 - Silva vs. Bisping
Sunday,2/21/2016,FALSE,FALSE,UFC Fight Night: Cowboy vs. Cowboy,2/21/2016,UFC Fight Night: Cowboy vs. Cowboy,2/21/2016,UFC Fight Night - Cowboy vs. Cowboy,2/21/2016,UFC Fight Night: Cowboy vs Cowboy,2/21/2016,UFC Fight Night 83,2/21/2016,UFC Fight Night 83 - Cerrone vs. Oliveira
Saturday,2/6/2016,FALSE,FALSE,UFC Fight Night: Hendricks vs. Thompson,2/6/2016,UFC Fight Night: Hendricks vs. Thompson,2/6/2016,UFC Fight Night - Hendricks vs. Thompson,2/6/2016,UFC Fight Night: Hendricks vs Thompson,2/6/2016,UFC Fight Night 82,2/6/2016,UFC Fight Night 82 - Hendricks vs. Thompson
Saturday,1/30/2016,FALSE,FALSE,UFC on Fox: Johnson vs. Bader,1/30/2016,UFC on Fox: Johnson vs. Bader,1/30/2016,UFC Fight Night - Johnson vs. Bader,1/30/2016,UFC Fight Night: Johnson vs. Bader,1/30/2016,UFC on FOX 18,1/30/2016,UFC on Fox 18 - Johnson vs. Bader
Sunday,1/17/2016,FALSE,FALSE,UFC Fight Night: Dillashaw vs. Cruz,1/17/2016,UFC Fight Night: Dillashaw vs. Cruz,1/17/2016,UFC Fight Night - Dillashaw vs. Cruz,1/17/2016,UFC Fight Night: Dillashaw vs Cruz,1/17/2016,UFC Fight Night 81,1/17/2016,UFC Fight Night 81 - Dillashaw vs. Cruz
Saturday,1/2/2016,FALSE,FALSE,UFC 195: Lawler vs. Condit,1/2/2016,UFC 195: Lawler vs. Condit,1/2/2016,UFC 195 - Lawler vs Condit,1/2/2016,UFC 195: Lawler vs Condit,1/2/2016,UFC 195,1/2/2016,UFC 195 - Lawler vs. Condit
Saturday,12/19/2015,FALSE,FALSE,UFC on Fox: dos Anjos vs. Cerrone 2,12/19/2015,UFC on Fox: dos Anjos vs. Cerrone 2,12/19/2015,UFC Fight Night - dos Anjos vs Cowboy 2,12/19/2015,UFC on FOX: Dos Anjos vs. Cowboy 2,12/19/2015,UFC on FOX 17,12/19/2015,UFC on Fox 17 - Dos Anjos vs. Cerrone 2
Saturday,12/12/2015,FALSE,FALSE,UFC 194: Aldo vs. McGregor,12/12/2015,UFC 194: Aldo vs. McGregor,12/12/2015,UFC 194 - Aldo vs McGregor,12/12/2015,UFC 194: Aldo vs McGregor,12/12/2015,,12/12/2015,UFC 194 - Aldo vs. McGregor
Friday,12/11/2015,FALSE,FALSE,The Ultimate Fighter: Team McGregor vs. Team Faber Finale,12/11/2015,The Ultimate Fighter: Team McGregor vs. Team Faber Finale,12/11/2015,The Ultimate Fighter Finale - Team McGregor vs Team Faber,12/11/2015,The Ultimate Fighter 22 Finale,12/11/2015,TUF 22 Finale,12/11/2015,UFC - The Ultimate Fighter 22 Finale
Thursday,12/10/2015,FALSE,FALSE,UFC Fight Night: Namajunas vs. VanZant,12/10/2015,UFC Fight Night: Namajunas vs. VanZant,12/10/2015,UFC Fight Night - Namajunas vs VanZant,12/10/2015,UFC Fight Night: Namajunas vs. VanZant,12/10/2015,,12/10/2015,UFC Fight Night 80 - Namajunas vs. VanZant
Saturday,11/28/2015,FALSE,FALSE,UFC Fight Night: Henderson vs. Masvidal,11/28/2015,UFC Fight Night: Henderson vs. Masvidal,11/28/2015,UFC Fight Night - Henderson vs Masvidal,11/28/2015,UFC Fight Night: Henderson vs Masvidal,11/28/2015,,11/28/2015,UFC Fight Night 79 - Henderson vs. Masvidal
Saturday,11/21/2015,FALSE,FALSE,The Ultimate Fighter Latin America 2 Finale: Magny vs. Gastelum,11/21/2015,The Ultimate Fighter Latin America 2 Finale: Magny vs. Gastelum,11/21/2015,UFC Fight Night - Magny vs Gastelum,11/21/2015,UFC Fight Night 78: Magny vs Gastelum,11/21/2015,UFC Fight Night 78,11/21/2015,UFC Fight Night 78 - Magny vs. Gastelum
Saturday,11/14/2015,FALSE,FALSE,UFC 193: Rousey vs. Holm,11/15/2015,UFC 193: Rousey vs. Holm,11/14/2015,UFC 193 - Rousey vs Holm,11/14/2015,UFC 193: Rousey vs Holm,11/14/2015,UFC 193,11/14/2015,UFC 193 - Rousey vs. Holm
Saturday,11/7/2015,FALSE,FALSE,UFC Fight Night: Belfort vs. Henderson 3,11/7/2015,UFC Fight Night: Belfort vs. Henderson 3,11/7/2015,UFC Fight Night - Belfort vs Henderson,11/7/2015,UFC Fight Night: Belfort vs Henderson,11/7/2015,UFC Fight Night 77,11/7/2015,UFC Fight Night 77 - Belfort vs. Henderson 3
Saturday,10/24/2015,FALSE,FALSE,UFC Fight Night: Holohan vs. Smolka,10/24/2015,UFC Fight Night: Holohan vs. Smolka,10/24/2015,UFC Fight Night - Holohan vs. Smolka,10/24/2015,UFC Fight Night: Holohan vs Smolka,10/24/2015,UFC Fight Night 76,10/24/2015,UFC Fight Night 76 - Holohan vs. Smolka
Saturday,10/3/2015,FALSE,FALSE,UFC 192: Cormier vs. Gustafsson,10/3/2015,UFC 192: Cormier vs. Gustafsson,10/3/2015,UFC 192 - Cormier vs. Gustafsson,10/3/2015,UFC 192: Cormier vs Gustafsson,10/3/2015,UFC 192,10/3/2015,UFC 192 - Cormier vs. Gustafsson
Saturday,9/26/2015,FALSE,FALSE,UFC Fight Night: Barnett vs. Nelson,9/27/2015,UFC Fight Night: Barnett vs. Nelson,9/26/2015,UFC Fight Night - Barnett vs. Nelson,9/26/2015,UFC Fight Night: Barnett vs Nelson,9/26/2015,UFC Fight Night 75,9/26/2015,UFC Fight Night 75 - Barnett vs. Nelson
Saturday,9/5/2015,FALSE,FALSE,UFC 191: Johnson vs. Dodson 2,9/5/2015,UFC 191: Johnson vs. Dodson 2,9/5/2015,UFC 191 - Johnson vs. Dodson 2,9/5/2015,UFC 191: Johnson vs Dodson 2,9/5/2015,UFC 191,9/5/2015,UFC 191 - Johnson vs. Dodson 2
Sunday,8/23/2015,FALSE,FALSE,UFC Fight Night: Holloway vs. Oliveira,8/23/2015,UFC Fight Night: Holloway vs. Oliveira,8/23/2015,UFC Fight Night - Holloway vs. Oliveira,8/23/2015,UFC Fight Night: Holloway vs Oliveira,8/23/2015, UFC Fight Night 74,8/23/2015,UFC Fight Night 74 - Holloway vs. Oliveira
Saturday,8/8/2015,FALSE,FALSE,UFC Fight Night: Teixeira vs. Saint Preux,8/8/2015,UFC Fight Night: Teixeira vs. Saint Preux,8/8/2015,UFC Fight Night - Teixeira vs. Saint Preux,8/8/2015,UFC Fight Night: Teixeira vs Saint Preux,8/8/2015,UFC Fight Night 73,8/8/2015,UFC Fight Night 73 - Teixeira vs. St. Preux
Saturday,8/1/2015,FALSE,FALSE,UFC 190: Rousey vs. Correia,8/1/2015,UFC 190: Rousey vs. Correia,8/1/2015,UFC 190 - Rousey vs. Correia,8/1/2015,UFC 190: Rousey vs Correia,8/1/2015,UFC 190,8/1/2015,UFC 190 - Rousey vs. Correia
Saturday,7/25/2015,FALSE,FALSE,UFC on Fox: Dillashaw vs. Baro 2,7/25/2015,UFC on Fox: Dillashaw vs. Baro 2,7/25/2015,UFC Fight Night - Dillashaw vs. Barao 2,7/25/2015,UFC on Fox: Dillashaw vs. Barao II,7/25/2015,UFC on FOX 16,7/25/2015,UFC on Fox 16 - Dillashaw vs. Barao 2
Saturday,7/18/2015,FALSE,FALSE,UFC Fight Night: Bisping vs. Leites,7/18/2015,UFC Fight Night: Bisping vs. Leites,7/18/2015,UFC Fight Night - Bisping vs. Leites,7/18/2015,UFC Fight Night: Bisping vs Leites,7/18/2015,UFC Fight Night 72,7/18/2015,UFC Fight Night 72 - Bisping vs. Leites
Wednesday,7/15/2015,FALSE,FALSE,UFC Fight Night: Mir vs. Duffee,7/15/2015,UFC Fight Night: Mir vs. Duffee,7/15/2015,UFC Fight Night - Mir vs. Duffee,7/15/2015,UFC Fight Night: Mir vs Duffee,7/15/2015,UFC Fight Night 71,7/15/2015,UFC Fight Night 71 - Mir vs. Duffee
Sunday,7/12/2015,FALSE,FALSE,The Ultimate Fighter: American Top Team vs. Blackzilians Finale,7/12/2015,The Ultimate Fighter: American Top Team vs. Blackzilians Finale,7/12/2015,The Ultimate Fighter Finale - American Top Team vs. Blackzilians,7/12/2015,The Ultimate Fighter 21 Finale,7/12/2015,TUF 21 Finale,7/12/2015,UFC - The Ultimate Fighter 21 Finale
Saturday,7/11/2015,FALSE,FALSE,UFC 189: Mendes vs. McGregor,7/11/2015,UFC 189: Mendes vs. McGregor,7/11/2015,UFC 189 - Mendes vs. McGregor,7/11/2015,UFC 189: Mendes vs McGregor,7/11/2015,UFC 189,7/11/2015,UFC 189 - Mendes vs. McGregor
Saturday,6/27/2015,FALSE,FALSE,UFC Fight Night: Machida vs. Romero,6/27/2015,UFC Fight Night: Machida vs. Romero,6/27/2015,UFC Fight Night - Machida vs. Romero,6/27/2015,UFC Fight Night: Machida vs Romero,6/27/2015,UFC Fight Night 70,6/27/2015,UFC Fight Night 70 - Machida vs. Romero
Saturday,6/20/2015,FALSE,FALSE,UFC Fight Night: Jdrzejczyk vs. Penne,6/20/2015,UFC Fight Night: Jdrzejczyk vs. Penne,6/20/2015,UFC Fight Night - Jedrzejczyk vs. Penne,6/20/2015,UFC Fight Night: Jedrzejczyk vs Penne,6/20/2015,UFC Fight Night 69,6/20/2015,UFC Fight Night 69 - Jedrzejczyk vs. Penne
Saturday,6/13/2015,FALSE,FALSE,UFC 188: Velasquez vs. Werdum,6/13/2015,UFC 188: Velasquez vs. Werdum,6/13/2015,UFC 188 - Velasquez vs. Werdum,6/13/2015,UFC 188: Velasquez vs Werdum,6/13/2015,UFC 188,6/13/2015,UFC 188 - Velasquez vs. Werdum
Saturday,6/6/2015,FALSE,FALSE,UFC Fight Night: Boetsch vs. Henderson,6/6/2015,UFC Fight Night: Boetsch vs. Henderson,6/6/2015,UFC Fight Night - Boetsch vs. Henderson,6/6/2015,UFC Fight Night: Boetsch vs Henderson,6/6/2015,UFC Fight Night 68,6/6/2015,UFC Fight Night 68 - Boetsch vs. Henderson
Saturday,5/30/2015,FALSE,FALSE,UFC Fight Night: Condit vs. Alves,5/30/2015,UFC Fight Night: Condit vs. Alves,5/30/2015,UFC Fight Night - Condit vs. Alves,5/30/2015,UFC Fight Night: Condit vs Alves,5/30/2015,UFC Fight Night 67,5/30/2015,UFC Fight Night 67 - Condit vs. Alves
Saturday,5/23/2015,FALSE,FALSE,UFC 187: Johnson vs. Cormier,5/23/2015,UFC 187: Johnson vs. Cormier,5/23/2015,UFC 187 - Johnson vs. Cormier,5/23/2015,UFC 187: Johnson vs Cormier,5/23/2015,UFC 187,5/23/2015,UFC 187 - Johnson vs. Cormier
Saturday,5/16/2015,FALSE,FALSE,UFC Fight Night: Edgar vs. Faber,5/16/2015,UFC Fight Night: Edgar vs. Faber,5/16/2015,UFC Fight Night - Edgar vs. Faber,5/16/2015,UFC Fight Night: Edgar vs Faber,5/16/2015,UFC Fight Night 66,5/16/2015,UFC Fight Night 66 - Edgar vs. Faber
Saturday,5/9/2015,FALSE,FALSE,UFC Fight Night: Miocic vs. Hunt,5/10/2015,UFC Fight Night: Miocic vs. Hunt,5/9/2015,UFC Fight Night - Miocic vs. Hunt,5/9/2015,UFC Fight Night: Miocic vs Hunt,5/9/2015,UFC Fight Night 65,5/10/2015,UFC Fight Night 65 - Miocic vs. Hunt
Saturday,4/25/2015,FALSE,FALSE,UFC 186: Johnson vs. Horiguchi,4/25/2015,UFC 186: Johnson vs. Horiguchi,4/25/2015,UFC 186 - Johnson vs. Horiguchi,4/25/2015,UFC 186: Johnson vs Horiguchi,4/25/2015,UFC 186,4/25/2015,UFC 186 - Johnson vs. Horiguchi
Saturday,4/18/2015,FALSE,FALSE,UFC on Fox: Machida vs. Rockhold,4/18/2015,UFC on Fox: Machida vs. Rockhold,4/18/2015,UFC Fight Night - Machida vs. Rockhold,4/18/2015,UFC Fight Night: Machida vs Rockhold,4/18/2015,UFC on FOX 15,4/18/2015,UFC on Fox 15 - Machida vs. Rockhold
Saturday,4/11/2015,FALSE,FALSE,UFC Fight Night: Gonzaga vs. Cro Cop 2,4/11/2015,UFC Fight Night: Gonzaga vs. Cro Cop 2,4/11/2015,UFC Fight Night - Gonzaga vs. Cro Cop 2,4/11/2015,UFC Fight Night: Gonzaga vs Cro Cop 2,4/11/2015,UFC Fight Night 64,4/11/2015,UFC Fight Night 64 - Gonzaga vs. Cro Cop 2
Saturday,4/4/2015,FALSE,FALSE,UFC Fight Night: Mendes vs. Lamas,4/4/2015,UFC Fight Night: Mendes vs. Lamas,4/4/2015,UFC Fight Night - Mendes vs. Lamas,4/4/2015,UFC Fight Night: Mendes vs Lamas,4/4/2015,UFC Fight Night 63,4/4/2015,UFC Fight Night 63 - Mendes vs. Lamas
Saturday,3/21/2015,FALSE,FALSE,UFC Fight Night: Maia vs. LaFlare,3/21/2015,UFC Fight Night: Maia vs. LaFlare,3/21/2015,UFC Fight Night - Maia vs. LaFlare,3/21/2015,UFC Fight Night: Maia vs LaFlare,3/21/2015,UFC Fight Night 62,3/21/2015,UFC Fight Night 62 - Maia vs. LaFlare
Saturday,3/14/2015,FALSE,FALSE,UFC 185: Pettis vs. dos Anjos,3/14/2015,UFC 185: Pettis vs. dos Anjos,3/14/2015,UFC 185 - Pettis vs. Dos Anjos,3/14/2015,UFC 185: Pettis vs Dos Anjos,3/14/2015,UFC 185,3/14/2015,UFC 185 - Pettis vs. Dos Anjos
