Last Name,Fighter,Alternate1,Alternate2,Alternate3,Alternate4
Rocha,Chris De La Rocha,Chris de la Rocha,,,
Rodriguez,Manuel Rodriguez,Manny Rodriguez,,,
Rosario,Shane Del Rosario,Shane del Rosario,,,
Rountree,Khalil Rountree,Khail Rountree,,,
Rountree,Khalil Rountree,Khalil Rountree Jr.,,,
Rua,"Mauricio ""Shogun"" Rua",Mauricio Rua,Shogun Rua,,
Rua,"Murilo ""Ninja"" Rua",Murilo Rua,,,
Sajewski,Lukasz Sajewski,Lukasz Sajeweski,,,
Sampo,Josh Sampo,Joshua Sampo,,,
Sangcha-an,Roldan Sangcha-an,Roldan Sangcha-An,,,
Santos,"Evangelista ""Cyborg"" Santos","Evangelista ""Cyborg""",Evangelista Santos,,
Santos,Antonio Dos Santos,Antonio dos Santos,Antonio dos Santos Jr.,,
Santos,Junior Dos Santos,Junior dos Santos,,,
Santos,Thiago Santos,"Thiago ""Marreta"" Santos",,,
Santos,Elizeu Zaleski Dos Santos,Elizeu Zaleski dos Santos,Elizeu Zaleski,,
Sasaki,Ulka Sasaki,Yuta Sasaki,,,
Schockman,Josh Schockman,Josh Shockman,,,
Scott,Bradley Scott,Brad Scott,,,
Sharp,Wes Sharp,Wesley Sharp,,,
Silva,"Antonio ""Bigfoot"" Silva",Antonio Silva,,,
Silva,Claudio Silva,Claudio Henrique da Silva,,,
Silva,Jussier da Silva,Jussier Formiga da Silva,,,
Silva,Wagner Silva,Wagner Silva Gomes,,,
Slice,Kimbo Slice,Kevin Ferguson,,,
Smith,Darren Smith,Darren Smith Jr.,,,
Smoliakov,Dmitrii Smoliakov,Dmitry Smoliakov,Dmitri Smoliakov,Dmitry Smolyakov,
Sobral,"Renato ""Babalu"" Sobral",Renato Sobral,,,
Sokoudjou,Rameau Thierry Sokoudjou,Rameau Sokoudjou,,,
Soszynski,Krzysztof Soszynski,Krzystof Soszynksi,,,
Souza,"Ronaldo ""Jacare"" Souza",Ronaldo Souza,Jacare Souza,,
Souza,Kevin Souza,Edimilson Souza,,,
Speer,Tommy Speer,Tom Speer,,,
Sperling,Nick Sperling,Nicolas Sperling,,,
Spiritwolf,Waachiim Spiritwolf,Waachiim Spirtwolf,,,
Stansbury,Josh Stansbury,Joshua Stansbury,,,
Stepanov,Dmitri Stepanov,Dmitrei Stepanov,,,
Stiebling,Alex Stiebling,Alex Steibling,,,
Stittgen,Dan Stittgen,Daniel Stittgen,,,
Streacker,Joshua Streacker,Josh Streaker,,,
Stuart,Josh Stuart,Josh Stewart,,,
Te-Huna,James Te-Huna,James TeHuna,ames Te-Huna,,
Teixeira,John Teixeira,John Teixeira da Conceicao,,,
Tomas,Carls John De Tomas,Carls John de Tomas,,,
Torre,Mike De La Torre,Michael De La Torre,Mike de la Torre,,
Torres,Alex Torres,Alexander Torres,,,
Torres,Miguel Torres,Miguel Angel Torres,,,
Trator,Tiago Trator,Tiago dos Santos e Silva,,,
Trizano,Michael Trizano,Mike Trizano,,,
Tuerxun,Jumabieke Tuerxun,Jumabieke Tuerxum,,,
Turk,Mostapha Al Turk,Mostapha Al-Turk,,,
Vannata,Lando Vannata,Landon Vannata,,,
Vasconcelos,Guilherme Vasconcelos,"Guilherme ""Bomba"" Vasconcelos",,,
Villarreal,Armando Villarreal,Armando Villareal,,,
Volkanovski,Alexander Volkanovski,Alexander Volkanovksi,Alex Volkanovski,,
Waldburger,TJ Waldburger,T.J. Waldburger,,,
Wallhead,Jimmy Wallhead,Jim Wallhead,,,
Walsh,Patrick Walsh,Pat Walsh,,,
Walsh,Richard Walsh,Rich Walsh,,,
Wang,Anying Wang,Wang Anying,An Ying Wang,,
Wang,Sai Wang,Wang Sai,,,
Warburton,Curt Warburton,Kurt Warburton,,,
Wasi,Idrees Wasi,Idris Wasi,,,
Whiteford,Rob Whiteford,Robert Whiteford,,,
Wiet,Orlando Wiet,Orlando Welt,,,
Woods,Salvador Woods,Sal Woods,,,
Xavier,Eldo Dias Xavier,Eldo Xavier Dias,,,
Yamamiya,Keiichiro Yamamiya,Keichiro Yamamiya,,,
Yamamoto,"Norifumi ""Kid"" Yamamoto",Norifumi Yamamoto,Kid Yamamoto,,
Yang,Dongi Yang,Dong Yi Yang,,,
Yano,Masutatsu Yano,Matsatsu Yano,,,
Yarborough,Emmanuel Yarborough,Emmanuel Yarbrough,,,
Young,Artenas Young,Arteneus Young,,,
Zamora,Joe Angel Zamora,Angel Zamora,,,
Zaromskis,Marius Zaromskis,Marius Zaramoskis,,,
Zhang,Lipeng Zhang,Zhang Lipeng,,,
Zitanick,Dave Zitanick,David Zitnik,,,
