Event,Date,Fight Number,Result,Fighter,Opponent,Method,Nationality,Division,Weightclass,Weight,Missed by,Notes,Withdrawn,Main Co-Main vs Undercard
UFC Fight Night: Dos Anjos vs. Ferguson,2016-11-05,2.0,loss,Charles Oliveira,Ricardo Lamas,SUB  Guillotine Choke,BRA,FW,145,155.0,10.0,4th Time missing weight. Repeat offender,,Undercard
UFC Fight Night: Dos Anjos vs. Ferguson,2016-11-05,6.0,loss,Felipe Arantes,Erik Perez,S-DEC,BRA,BW,135,138.0,3.0,3rd fight at BW after dropping from FW,,Undercard
UFC Fight Night: Lineker vs. Dodson,2016-10-01,0.0,win,John Lineker,John Dodson,S-DEC,BRA,BW,135,136.5,1.5,5th time missing weight in 12 fights,,Main or Co-Main
UFC Fight Night: Lineker vs. Dodson,2016-10-01,1.0,win,Alex Oliveira,Will Brooks,KO/TKO  Punches,BRA,LW,155,161.5,6.5,Previous two fights were both at WW,,Main or Co-Main
UFC Fight Night: Lineker vs. Dodson,2016-10-01,5.0,loss,Hacran Dias,Andre Fili,U-DEC,BRA,FW,145,148.5,3.5,,,Undercard
UFC Fight Night: Cyborg vs. Lansberg,2016-09-24,6.0,win,Michel Prazeres,Gilbert Burns,U-DEC,BRA,LW,155,158.0,3.0,,,Undercard
UFC 203: Miocic vs. Overeem,2016-09-10,7.0,loss,Michael McBride,Nik Lentz,KO/TKO  Punches,USA,LW,155,158.0,3.0,,,Undercard
UFC Fight Night: Maia vs. Condit,2016-08-27,8.0,win,Chad Laprise,Thibault Gouti,KO/TKO  Punch,CAN,LW,155,159.0,4.0,,,Undercard
UFC 201: Lawler vs. Woodley,2016-07-30,,,Justin Scoggins,,,USA,FLY,125,,,withdrew with weight cutting issues,Withdrawn,Undercard
UFC 200: Tate vs Nunes,2016-07-09,6.0,loss,Johny Hendricks,Kelvin Gastelum,U-DEC,USA,WW,170,171.5,1.5,,,Undercard
UFC Fight Night: MacDonald vs Thompson,2016-06-18,10.0,win,Randa Markos,Jocelyn Jones-Lybarger,U-DEC,CAN,WSW,115,117.5,2.5,,,Undercard
UFC Fight Night: Cowboy vs Cowboy,2016-02-21,2.0,loss,Augusto Mendes,Cody Garbrandt,KO/TKO  Punches,BRA,BW,135,142.0,7.0,Was late notice replacement,,Undercard
UFC on FOX: Dos Anjos vs. Cowboy 2,2015-12-19,4.0,win,Charles Oliveira,Myles Jury,SUB  Guillotine Choke,BRA,FW,145,150.5,5.5,,,Undercard
UFC 192: Cormier vs Gustafsson,2015-10-03,9.0,loss,Francisco Trevino,Sage Northcutt,KO/TKO  Punches,USA,LW,155,160.0,5.0,Missed weight and then tested positive for Marijuana,,Undercard
UFC 192: Cormier vs Gustafsson,2015-10-03,,,Johny Hendricks,,,USA,WW,170,,,Hospitalised with kidney stone and intestinal blockage,Withdrawn,Undercard
UFC Fight Night: Teixeira vs Saint Preux,2015-08-08,5.0,win,Ray Borg,Geane Herrera,U-DEC,USA,FLY,125,126.75,1.75,,,Undercard
The Ultimate Fighter 21 Finale,2015-07-12,5.0,win,Maximo Blanco,Mike de la Torre,KO/TKO  Punch,VEN,FW,145,148.5,3.5,,,Undercard
UFC 189: Mendes vs McGregor,2015-07-11,2.0,win,Jeremy Stephens,Dennis Bermudez,KO/TKO  Flying Knee,USA,FW,145,149.5,4.5,,,Undercard
UFC Fight Night: Machida vs Romero,2015-06-27,6.0,loss,Lewis Gonzalez,Leandro Silva,U-DEC,,WW,170,174.0,4.0,,,Undercard
UFC Fight Night: Boetsch vs Henderson,2015-06-06,2.0,loss,Yancy Medeiros,Dustin Poirier,KO/TKO  Punches,,LW,155,159.5,4.5,,,Undercard
UFC Fight Night: Boetsch vs Henderson,2015-06-06,11.0,loss,Leonardo Morales,Jose Quinonez,SUB  Rear Naked Choke,,BW,135,140.0,5.0,,,Undercard
UFC 187: Johnson vs Cormier,2015-05-23,,,Nina Ansaroff,,,,WSW,115,120.0,5.0,Pulled out of fight vs Namajunas due to sickness,Withdrawn,Undercard
UFC Fight Night: Edgar vs Faber,2015-05-16,9.0,loss,Royston Wee,Ning Guangyou,KO/TKO  Punch,,BW,135,137.0,2.0,,,Undercard
UFC 185: Pettis vs Dos Anjos,2015-03-14,7.0,loss,Daron Cruickshank,Beneil Dariush,SUB  Rear Naked Choke,,LW,155,157.5,2.5,,,Undercard
UFC Fight Night: Henderson vs Thatch,2015-02-14,3.0,loss,Patrick Walsh,Daniel Kelly,U-DEC,,MW,185,191.5,6.5,,,Undercard
UFC Fight Night: Henderson vs Thatch,2015-02-14,9.0,win,James Moontasri,Cody Pfister,SUB  Rear Naked Choke,,LW,155,158.0,3.0,,,Undercard
