Organization,Event,Date,Fight Number,Result,Fighter,Opponent,Method,Round,Time,Url
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,4,come,Neil Magny yet to,Carlos Condit  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,4,come,Carlos Condit yet to,Neil Magny  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,4,come,Neil Magny yet to,Carlos Condit  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,4,come,Carlos Condit yet to,Neil Magny  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,4,come,Neil Magny yet to,Carlos Condit  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,5,come,Michal Oleksiejczuk yet to,Khalil Rountree  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,5,come,Khalil Rountree yet to,Michal Oleksiejczuk  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,5,come,Michal Oleksiejczuk yet to,Khalil Rountree  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,5,come,Khalil Rountree yet to,Michal Oleksiejczuk  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,5,come,Michal Oleksiejczuk yet to,Khalil Rountree  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,5,come,Khalil Rountree yet to,Michal Oleksiejczuk  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,5,come,Michal Oleksiejczuk yet to,Khalil Rountree  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,5,come,Khalil Rountree yet to,Michal Oleksiejczuk  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,5,come,Michal Oleksiejczuk yet to,Khalil Rountree  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,5,come,Khalil Rountree yet to,Michal Oleksiejczuk  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,6,come,Myles Jury yet to,Rick Glenn  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,6,come,Rick Glenn yet to,Myles Jury  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,6,come,Myles Jury yet to,Rick Glenn  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,6,come,Rick Glenn yet to,Myles Jury  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,6,come,Myles Jury yet to,Rick Glenn  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,6,come,Rick Glenn yet to,Myles Jury  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,6,come,Myles Jury yet to,Rick Glenn  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,6,come,Rick Glenn yet to,Myles Jury  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,6,come,Myles Jury yet to,Rick Glenn  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,6,come,Rick Glenn yet to,Myles Jury  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,7,come,Marvin Vettori yet to,Omari Akhmedov  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,7,come,Omari Akhmedov yet to,Marvin Vettori  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,7,come,Marvin Vettori yet to,Omari Akhmedov  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,7,come,Omari Akhmedov yet to,Marvin Vettori  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,7,come,Marvin Vettori yet to,Omari Akhmedov  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,7,come,Omari Akhmedov yet to,Marvin Vettori  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,7,come,Marvin Vettori yet to,Omari Akhmedov  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,7,come,Omari Akhmedov yet to,Marvin Vettori  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,7,come,Marvin Vettori yet to,Omari Akhmedov  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,7,come,Omari Akhmedov yet to,Marvin Vettori  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,8,come,Louis Smolka yet to,Matheus Nicolau Pereira  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,8,come,Matheus Nicolau Pereira yet to,Louis Smolka  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,8,come,Louis Smolka yet to,Matheus Nicolau Pereira  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,8,come,Matheus Nicolau Pereira yet to,Louis Smolka  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,8,come,Louis Smolka yet to,Matheus Nicolau Pereira  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,8,come,Matheus Nicolau Pereira yet to,Louis Smolka  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,8,come,Louis Smolka yet to,Matheus Nicolau Pereira  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,8,come,Matheus Nicolau Pereira yet to,Louis Smolka  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,8,come,Louis Smolka yet to,Matheus Nicolau Pereira  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,8,come,Matheus Nicolau Pereira yet to,Louis Smolka  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,9,come,Tim Elliott yet to,Mark Delarosa  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,9,come,Mark Delarosa yet to,Tim Elliott  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,9,come,Tim Elliott yet to,Mark Delarosa  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,9,come,Mark Delarosa yet to,Tim Elliott  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,9,come,Tim Elliott yet to,Mark Delarosa  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,9,come,Mark Delarosa yet to,Tim Elliott  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,9,come,Tim Elliott yet to,Mark Delarosa  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,9,come,Mark Delarosa yet to,Tim Elliott  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,9,come,Tim Elliott yet to,Mark Delarosa  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC 219 - Cyborg vs. Holm,2017-12-30,9,come,Mark Delarosa yet to,Tim Elliott  yet to,,0.0,0:00,http://www.sherdog.com/events/UFC-219-Cyborg-vs-Holm-61993
Ultimate Fighting Championship,UFC on Fox 26 - Lawler vs. dos Anjos,2017-12-16,0,win,Rafael Dos Anjos,Robbie Lawler,Decision (Unanimous),5.0,5:00,http://www.sherdog.com/events/UFC-on-Fox-26-Lawler-vs-dos-Anjos-62621
Ultimate Fighting Championship,UFC on Fox 26 - Lawler vs. dos Anjos,2017-12-16,0,loss,Robbie Lawler,Rafael dos Anjos,Decision (Unanimous),5.0,5:00,http://www.sherdog.com/events/UFC-on-Fox-26-Lawler-vs-dos-Anjos-62621
Ultimate Fighting Championship,UFC on Fox 26 - Lawler vs. dos Anjos,2017-12-16,1,win,Josh Emmett,Ricardo Lamas ,KO (Punch),1.0,4:33,http://www.sherdog.com/events/UFC-on-Fox-26-Lawler-vs-dos-Anjos-62621
Ultimate Fighting Championship,UFC on Fox 26 - Lawler vs. dos Anjos,2017-12-16,1,loss,Ricardo Lamas,Josh Emmett ,KO (Punch),1.0,4:33,http://www.sherdog.com/events/UFC-on-Fox-26-Lawler-vs-dos-Anjos-62621
Ultimate Fighting Championship,UFC on Fox 26 - Lawler vs. dos Anjos,2017-12-16,2,win,Santiago Ponzinibbio,Mike Perry ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-on-Fox-26-Lawler-vs-dos-Anjos-62621
Ultimate Fighting Championship,UFC on Fox 26 - Lawler vs. dos Anjos,2017-12-16,2,loss,Mike Perry,Santiago Ponzinibbio ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-on-Fox-26-Lawler-vs-dos-Anjos-62621
Ultimate Fighting Championship,UFC on Fox 26 - Lawler vs. dos Anjos,2017-12-16,3,win,Glover Teixeira,Misha Cirkunov ,TKO (Punches),1.0,2:45,http://www.sherdog.com/events/UFC-on-Fox-26-Lawler-vs-dos-Anjos-62621
Ultimate Fighting Championship,UFC on Fox 26 - Lawler vs. dos Anjos,2017-12-16,3,loss,Misha Cirkunov,Glover Teixeira ,TKO (Punches),1.0,2:45,http://www.sherdog.com/events/UFC-on-Fox-26-Lawler-vs-dos-Anjos-62621
Ultimate Fighting Championship,UFC on Fox 26 - Lawler vs. dos Anjos,2017-12-16,4,win,Jan Blachowicz,Jared Cannonier ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-on-Fox-26-Lawler-vs-dos-Anjos-62621
Ultimate Fighting Championship,UFC on Fox 26 - Lawler vs. dos Anjos,2017-12-16,4,loss,Jared Cannonier,Jan Blachowicz ,Decision (Unanimous),3.0,5:00,http://www.sherdog.com/events/UFC-on-Fox-26-Lawler-vs-dos-Anjos-62621
Ultimate Fighting Championship,UFC on Fox 26 - Lawler vs. dos Anjos,2017-12-16,5,win,Julian Marquez,Darren Stewart ,Submission (Guillotine Choke),2.0,2:42,http://www.sherdog.com/events/UFC-on-Fox-26-Lawler-vs-dos-Anjos-62621
Ultimate Fighting Championship,UFC on Fox 26 - Lawler vs. dos Anjos,2017-12-16,5,loss,Darren Stewart,Julian Marquez ,Submission (Guillotine Choke),2.0,2:42,http://www.sherdog.com/events/UFC-on-Fox-26-Lawler-vs-dos-Anjos-62621
Ultimate Fighting Championship,UFC on Fox 26 - Lawler vs. dos Anjos,2017-12-16,6,win,Chad Laprise,Galore Bofando ,TKO (Punches),1.0,4:10,http://www.sherdog.com/events/UFC-on-Fox-26-Lawler-vs-dos-Anjos-62621
Ultimate Fighting Championship,UFC on Fox 26 - Lawler vs. dos Anjos,2017-12-16,6,loss,Galore Bofando,Chad Laprise ,TKO (Punches),1.0,4:10,http://www.sherdog.com/events/UFC-on-Fox-26-Lawler-vs-dos-Anjos-62621
