Event,Date,Division,Weightclass,Fight Number,Fighter,Result,Opponent,Method,Round,Time,Location,Venue,Attendance,Url
UFC on Fox: Lawler vs. dos Anjos,2017-12-16,Welterweight,170.0,10,Erick Silva,loss,Jordan Mein,"Decision (unanimous) (30-26, 30-27, 30-27)",3,5:00,"Winnipeg, Manitoba, Canada",Bell MTS Place,8862.0,https://en.wikipedia.org/wiki/UFC_on_Fox:_Lawler_vs._dos_Anjos
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Featherweight,145.0,0,Brian Ortega,win,Cub Swanson,Submission (guillotine choke),2,3:22,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Featherweight,145.0,0,Cub Swanson,loss,Brian Ortega,Submission (guillotine choke),2,3:22,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Featherweight,145.0,1,Gabriel Bentez,win,Jason Knight,"Decision (unanimous) (30-26, 30-26, 29-27)",3,5:00,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Featherweight,145.0,1,Jason Knight,loss,Gabriel Bentez,"Decision (unanimous) (30-26, 30-26, 29-27)",3,5:00,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Bantamweight,135.0,2,Marlon Moraes,win,Aljamain Sterling,KO (knee),1,1:07,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Bantamweight,135.0,2,Aljamain Sterling,loss,Marlon Moraes,KO (knee),1,1:07,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Lightweight,155.0,3,Scott Holtzman,win,Darrell Horcher,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Lightweight,155.0,3,Darrell Horcher,loss,Scott Holtzman,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
UFC Fight Night: Swanson vs. Ortega,2017-12-09,Middleweight,185.0,4,Eryk Anders,win,Markus Perez,"Decision (unanimous) (30-26, 30-25, 29-28)",3,5:00,"Fresno, California, U.S.",Save Mart Center,7605.0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Ortega
