Event,Date,Fight Number,Division,Weightclass,Fighter,Opponent,Result,Method,Round,Time,Sig Strikes,Takedowns,Sub Attempts,Guard Passes,Url
UFC Fight Night: Swanson vs. Ortega,2017-12-09,10,Bantamweight,135,Alejandro Perez,Iuri Alcantara,win,U-DEC,3,5:00,35,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,2017-12-09,11,Lightweight,155,Chris Gruetzemacher,Davi Ramos,loss,SUB  Rear Naked Choke,3,0:50,46,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,2017-12-09,11,Lightweight,155,Davi Ramos,Chris Gruetzemacher,win,SUB  Rear Naked Choke,3,0:50,55,5,1,5,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,2017-12-09,12,Middleweight,185,Trevin Giles,Antonio Braga Neto,win,KO/TKO  Punches,3,2:27,70,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,2017-12-09,12,Middleweight,185,Antonio Braga Neto,Trevin Giles,loss,KO/TKO  Punches,3,2:27,18,2,0,2,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC 218: Holloway vs. Aldo 2,2017-12-02,0,Featherweight,145,Max Holloway,Jose Aldo,win,KO/TKO  Punches,3,4:51,174,0,0,1,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,2017-12-02,0,Featherweight,145,Jose Aldo,Max Holloway,loss,KO/TKO  Punches,3,4:51,87,0,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,2017-12-02,1,Heavyweight,265,Francis Ngannou,Alistair Overeem,win,KO/TKO  Punch,1,1:42,6,0,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,2017-12-02,1,Heavyweight,265,Alistair Overeem,Francis Ngannou,loss,KO/TKO  Punch,1,1:42,1,0,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,2017-12-02,2,Flyweight,125,Henry Cejudo,Sergio Pettis,win,U-DEC,3,5:00,36,3,0,3,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,2017-12-02,2,Flyweight,125,Sergio Pettis,Henry Cejudo,loss,U-DEC,3,5:00,25,0,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,2017-12-02,3,Lightweight,155,Eddie Alvarez,Justin Gaethje,win,KO/TKO  Knee,3,3:59,155,1,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,2017-12-02,3,Lightweight,155,Justin Gaethje,Eddie Alvarez,loss,KO/TKO  Knee,3,3:59,122,0,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,2017-12-02,4,Women's Strawweight,115,Tecia Torres,Michelle Waterson,win,U-DEC,3,5:00,95,1,0,1,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,2017-12-02,4,Women's Strawweight,115,Michelle Waterson,Tecia Torres,loss,U-DEC,3,5:00,56,2,0,4,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,2017-12-02,5,Lightweight,155,Paul Felder,Charles Oliveira,win,KO/TKO  Elbows,2,4:06,31,0,0,2,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,2017-12-02,5,Lightweight,155,Charles Oliveira,Paul Felder,loss,KO/TKO  Elbows,2,4:06,6,2,2,2,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,2017-12-02,6,Welterweight,170,Alex Oliveira,Yancy Medeiros,loss,KO/TKO  Punches,3,2:02,93,2,0,1,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,2017-12-02,6,Welterweight,170,Yancy Medeiros,Alex Oliveira,win,KO/TKO  Punches,3,2:02,75,1,0,2,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,2017-12-02,7,Lightweight,155,David Teymur,Drakkar Klose,win,U-DEC,3,5:00,52,1,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,2017-12-02,7,Lightweight,155,Drakkar Klose,David Teymur,loss,U-DEC,3,5:00,39,2,0,1,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,2017-12-02,8,Women's Strawweight,115,Cortney Casey,Felice Herrig,loss,S-DEC,3,5:00,91,0,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,2017-12-02,8,Women's Strawweight,115,Felice Herrig,Cortney Casey,win,S-DEC,3,5:00,76,1,0,1,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,2017-12-02,9,Women's Strawweight,115,Angela Magana,Amanda Cooper,loss,KO/TKO  Punches,2,4:34,12,0,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,2017-12-02,9,Women's Strawweight,115,Amanda Bobby Cooper,Angela Magana,win,KO/TKO  Punches,2,4:34,40,1,1,9,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,2017-12-02,10,Welterweight,170,Sabah Homasi,Abdul Razak Alhassan,loss,KO/TKO  Punches,1,4:21,39,0,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,2017-12-02,10,Welterweight,170,Abdul Razak Alhassan,Sabah Homasi,win,KO/TKO  Punches,1,4:21,27,1,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,2017-12-02,11,Light Heavyweight,205,Jeremy Kimball,Dominick Reyes,loss,SUB  Rear Naked Choke,1,3:39,4,1,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,2017-12-02,11,Light Heavyweight,205,Dominick Reyes,Jeremy Kimball,win,SUB  Rear Naked Choke,1,3:39,16,1,1,2,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,2017-12-02,12,Heavyweight,265,Justin Willis,Allen Crowder,win,KO/TKO  Punch,1,2:33,22,0,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
UFC 218: Holloway vs. Aldo 2,2017-12-02,12,Heavyweight,265,Allen Crowder,Justin Willis,loss,KO/TKO  Punch,1,2:33,15,0,0,0,http://www.fightmetric.com/event-details/9e30f69cc0869301
The Ultimate Fighter 26 Finale,2017-12-01,0,Women's Flyweight,125,Nicco Montano,Roxanne Modafferi,win,U-DEC,5,5:00,186,3,1,5,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,2017-12-01,0,Women's Flyweight,125,Roxanne Modafferi,Nicco Montano,loss,U-DEC,5,5:00,132,2,1,1,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,2017-12-01,1,Bantamweight,135,Sean O'Malley,Terrion Ware,win,U-DEC,3,5:00,141,3,0,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,2017-12-01,1,Bantamweight,135,Terrion Ware,Sean O'Malley,loss,U-DEC,3,5:00,88,0,0,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,2017-12-01,2,Women's Flyweight,125,Lauren Murphy,Barb Honchak,win,S-DEC,3,5:00,59,2,0,1,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,2017-12-01,2,Women's Flyweight,125,Barb Honchak,Lauren Murphy,loss,S-DEC,3,5:00,71,0,2,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,2017-12-01,3,Middleweight,185,Gerald Meerschaert,Eric Spicely,win,KO/TKO  Kick,2,2:18,36,0,0,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,2017-12-01,3,Middleweight,185,Eric Spicely,Gerald Meerschaert,loss,KO/TKO  Kick,2,2:18,17,1,1,1,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,2017-12-01,4,Women's Flyweight,125,DeAnna Bennett,Melinda Fabian,draw  draw,M-DEC,3,5:00,47,0,1,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
The Ultimate Fighter 26 Finale,2017-12-01,4,Women's Flyweight,125,Melinda Fabian,DeAnna Bennett,draw  draw,M-DEC,3,5:00,49,0,0,0,http://www.fightmetric.com/event-details/30e8b4505f5ccf92
