WL,Fighter,Str,Td,Sub,Pass,Weightclass,Method,Round,Time,Fight,Fight_Number,Opponent,Date,Event,Month,Event (Weight-Cut),Div,Division,Nat,Target Weight,Actual Weight,Missed by,Notes,Withdrawn,Main Co-Main vs Undercard
loss,Michael McBride,16,0,0,1,Lightweight,KO/TKO  Punches,2,4:17,Nik Lentz vs. Michael McBride,7,Nik Lentz,2016-09-10,UFC 203: Miocic vs. Overeem,2016-09-01,UFC 203,LW,LW,USA,155,158.0,3.0,,,Undercard
win,Chad Laprise,17,0,0,0,Lightweight,KO/TKO  Punch,1,1:36,Chad Laprise vs. Thibault Gouti,8,Thibault Gouti,2016-08-27,UFC Fight Night: Maia vs. Condit,2016-08-01,Vancouver,LW,LW,CAN,155,159.0,4.0,,,Undercard
loss,Johny Hendricks,70,1,0,0,Welterweight,U-DEC,3,5:00,Kelvin Gastelum vs. Johny Hendricks,6,Kelvin Gastelum,2016-07-09,UFC 200: Tate vs Nunes,2016-07-01,UFC 200,WW,WW,USA,170,171.5,1.5,,,Undercard
win,Randa Markos,86,1,1,0,Women's Strawweight,U-DEC,3,5:00,Randa Markos vs. Jocelyn Jones-Lybarger,10,Jocelyn Jones-Lybarger,2016-06-18,UFC Fight Night: MacDonald vs Thompson,2016-06-01,Ottowa,WSW,WSW,CAN,115,117.5,2.5,,,Undercard
loss,Augusto Mendes,11,0,0,0,Catch Weight,KO/TKO  Punches,1,4:18,Cody Garbrandt vs. Augusto Mendes,2,Cody Garbrandt,2016-02-21,UFC Fight Night: Cowboy vs Cowboy,2016-02-01,Pittsburg,BW,BW,BRA,135,142.0,7.0,Was late notice replacement,,Undercard
win,Charles Oliveira,5,1,1,2,Featherweight,SUB  Guillotine Choke,1,3:05,Charles Oliveira vs. Myles Jury,4,Myles Jury,2015-12-19,UFC on FOX: Dos Anjos vs. Cowboy 2,2015-12-01,Orlando,FW,FW,BRA,145,150.5,5.5,,,Undercard
loss,Francisco Trevino,1,0,0,0,Lightweight,KO/TKO  Punches,1,0:57,Sage Northcutt vs. Francisco Trevino,9,Sage Northcutt,2015-10-03,UFC 192: Cormier vs Gustafsson,2015-10-01,Houston,LW,LW,USA,155,160.0,5.0,Missed weight and then tested positive for Marijuana,,Undercard
win,Ray Borg,26,3,2,19,Flyweight,U-DEC,3,5:00,Ray Borg vs. Geane Herrera,5,Geane Herrera,2015-08-08,UFC Fight Night: Teixeira vs Saint Preux,2015-08-01,Nashville,FLY,FLY,USA,125,126.75,1.75,,,Undercard
win,Maximo Blanco,4,0,0,0,Featherweight,KO/TKO  Punch,1,0:16,Maximo Blanco vs. Mike de la Torre,5,Mike de la Torre,2015-07-12,The Ultimate Fighter 21 Finale,2015-07-01,TUF,FW,FW,VEN,145,148.5,3.5,,,Undercard
win,Jeremy Stephens,38,0,0,0,Featherweight,KO/TKO  Flying Knee,3,0:32,Jeremy Stephens vs. Dennis Bermudez,2,Dennis Bermudez,2015-07-11,UFC 189: Mendes vs McGregor,2015-07-01,UFC 189,FW,FW,USA,145,149.5,4.5,,,Undercard
loss,Lewis Gonzalez,21,2,0,2,Welterweight,U-DEC,3,5:00,Leandro Silva vs. Lewis Gonzalez,6,Leandro Silva,2015-06-27,UFC Fight Night: Machida vs Romero,2015-06-01,Florida,WW,WW,,170,174.0,4.0,,,Undercard
loss,Yancy Medeiros,6,0,0,0,Lightweight,KO/TKO  Punches,1,2:38,Dustin Poirier vs. Yancy Medeiros,2,Dustin Poirier,2015-06-06,UFC Fight Night: Boetsch vs Henderson,2015-06-01,New Orleans,LW,LW,,155,159.5,4.5,,,Undercard
loss,Leonardo Morales,3,0,0,0,Bantamweight,SUB  Rear Naked Choke,1,2:34,Jose Quinonez vs. Leonardo Morales,11,Jose Quinonez,2015-06-06,UFC Fight Night: Boetsch vs Henderson,2015-06-01,New Orleans,BW,BW,,135,140.0,5.0,,,Undercard
loss,Royston Wee,18,0,0,0,Bantamweight,KO/TKO  Punch,2,4:59,Ning Guangyou vs. Royston Wee,9,Ning Guangyou,2015-05-16,UFC Fight Night: Edgar vs Faber,2015-05-01,Pasay,BW,BW,,135,137.0,2.0,,,Undercard
loss,Daron Cruickshank,17,0,0,0,Lightweight,SUB  Rear Naked Choke,2,2:38,Beneil Dariush vs. Daron Cruickshank,7,Beneil Dariush,2015-03-14,UFC 185: Pettis vs Dos Anjos,2015-03-01,UFC 185,LW,LW,,155,157.5,2.5,,,Undercard
loss,Patrick Walsh,50,1,0,1,Middleweight,U-DEC,3,5:00,Daniel Kelly vs. Patrick Walsh,3,Daniel Kelly,2015-02-14,UFC Fight Night: Henderson vs Thatch,2015-02-01,Colorado,MW,MW,,185,191.5,6.5,,,Undercard
win,James Moontasri,32,0,1,1,Lightweight,SUB  Rear Naked Choke,2,1:49,James Moontasri vs. Cody Pfister,9,Cody Pfister,2015-02-14,UFC Fight Night: Henderson vs Thatch,2015-02-01,Colorado,LW,LW,,155,158.0,3.0,,,Undercard
