WL,Fighter,Str,Td,Sub,Pass,Weightclass,Method,Round,Time,Fight,Fight_Number,Opponent,Date,Event
win,David Teymur,52,1,0,0,Lightweight,U-DEC,3,5:00,David Teymur vs. Drakkar Klose,7,Drakkar Klose,2017-12-02,UFC 218: Holloway vs. Aldo 2
loss,Drakkar Klose,39,2,0,1,Lightweight,U-DEC,3,5:00,David Teymur vs. Drakkar Klose,7,David Teymur,2017-12-02,UFC 218: Holloway vs. Aldo 2
loss,Cortney Casey,91,0,0,0,Women's Strawweight,S-DEC,3,5:00,Felice Herrig vs. Cortney Casey,8,Felice Herrig,2017-12-02,UFC 218: Holloway vs. Aldo 2
win,Felice Herrig,76,1,0,1,Women's Strawweight,S-DEC,3,5:00,Felice Herrig vs. Cortney Casey,8,Cortney Casey,2017-12-02,UFC 218: Holloway vs. Aldo 2
loss,Angela Magana,12,0,0,0,Women's Strawweight,KO/TKO  Punches,2,4:34,Amanda Cooper vs. Angela Magana,9,Amanda Cooper,2017-12-02,UFC 218: Holloway vs. Aldo 2
win,Amanda Cooper,40,1,1,9,Women's Strawweight,KO/TKO  Punches,2,4:34,Amanda Cooper vs. Angela Magana,9,Angela Magana,2017-12-02,UFC 218: Holloway vs. Aldo 2
loss,Sabah Homasi,39,0,0,0,Welterweight,KO/TKO  Punches,1,4:21,Abdul Razak Alhassan vs. Sabah Homasi,10,Abdul Razak Alhassan,2017-12-02,UFC 218: Holloway vs. Aldo 2
win,Abdul Razak Alhassan,27,1,0,0,Welterweight,KO/TKO  Punches,1,4:21,Abdul Razak Alhassan vs. Sabah Homasi,10,Sabah Homasi,2017-12-02,UFC 218: Holloway vs. Aldo 2
loss,Jeremy Kimball,4,1,0,0,Light Heavyweight,SUB  Rear Naked Choke,1,3:39,Dominick Reyes vs. Jeremy Kimball,11,Dominick Reyes,2017-12-02,UFC 218: Holloway vs. Aldo 2
win,Dominick Reyes,16,1,1,2,Light Heavyweight,SUB  Rear Naked Choke,1,3:39,Dominick Reyes vs. Jeremy Kimball,11,Jeremy Kimball,2017-12-02,UFC 218: Holloway vs. Aldo 2
win,Justin Willis,22,0,0,0,Heavyweight,KO/TKO  Punch,1,2:33,Justin Willis vs. Allen Crowder,12,Allen Crowder,2017-12-02,UFC 218: Holloway vs. Aldo 2
loss,Allen Crowder,15,0,0,0,Heavyweight,KO/TKO  Punch,1,2:33,Justin Willis vs. Allen Crowder,12,Justin Willis,2017-12-02,UFC 218: Holloway vs. Aldo 2
win,Nicco Montano,186,3,1,5,Women's Flyweight,U-DEC,5,5:00,Nicco Montano vs. Roxanne Modafferi,0,Roxanne Modafferi,2017-12-01,The Ultimate Fighter 26 Finale
loss,Roxanne Modafferi,132,2,1,1,Women's Flyweight,U-DEC,5,5:00,Nicco Montano vs. Roxanne Modafferi,0,Nicco Montano,2017-12-01,The Ultimate Fighter 26 Finale
win,Sean O'Malley,141,3,0,0,Bantamweight,U-DEC,3,5:00,Sean O'Malley vs. Terrion Ware,1,Terrion Ware,2017-12-01,The Ultimate Fighter 26 Finale
loss,Terrion Ware,88,0,0,0,Bantamweight,U-DEC,3,5:00,Sean O'Malley vs. Terrion Ware,1,Sean O'Malley,2017-12-01,The Ultimate Fighter 26 Finale
win,Lauren Murphy,59,2,0,1,Women's Flyweight,S-DEC,3,5:00,Lauren Murphy vs. Barb Honchak,2,Barb Honchak,2017-12-01,The Ultimate Fighter 26 Finale
loss,Barb Honchak,71,0,2,0,Women's Flyweight,S-DEC,3,5:00,Lauren Murphy vs. Barb Honchak,2,Lauren Murphy,2017-12-01,The Ultimate Fighter 26 Finale
win,Gerald Meerschaert,36,0,0,0,Middleweight,KO/TKO  Kick,2,2:18,Gerald Meerschaert vs. Eric Spicely,3,Eric Spicely,2017-12-01,The Ultimate Fighter 26 Finale
loss,Eric Spicely,17,1,1,1,Middleweight,KO/TKO  Kick,2,2:18,Gerald Meerschaert vs. Eric Spicely,3,Gerald Meerschaert,2017-12-01,The Ultimate Fighter 26 Finale
draw  draw,DeAnna Bennett,47,0,1,0,Women's Flyweight,M-DEC,3,5:00,DeAnna Bennett vs. Melinda Fabian,4,Melinda Fabian,2017-12-01,The Ultimate Fighter 26 Finale
