WL,Fighter,Str,Td,Sub,Pass,Weightclass,Method,Round,Time,Fight,Fight_Number,Opponent,Date,Event
loss,Ben Wall,4,0,0,0,Lightweight,KO/TKO  Punch,1,2:41,Justin Salas vs. Ben Wall,11,Justin Salas,2014-05-10,UFC Fight Night: Brown vs Silva
win,Justin Salas,20,0,0,0,Lightweight,KO/TKO  Punch,1,2:41,Justin Salas vs. Ben Wall,11,Ben Wall,2014-05-10,UFC Fight Night: Brown vs Silva
win,Albert Tumenov,6,0,0,0,Welterweight,KO/TKO  Punch,1,3:56,Albert Tumenov vs. Anthony Lapsley,12,Anthony Lapsley,2014-05-10,UFC Fight Night: Brown vs Silva
loss,Anthony Lapsley,2,0,0,0,Welterweight,KO/TKO  Punch,1,3:56,Albert Tumenov vs. Anthony Lapsley,12,Albert Tumenov,2014-05-10,UFC Fight Night: Brown vs Silva
win,Jon Jones,138,3,2,0,Light Heavyweight,U-DEC,5,5:00,Jon Jones vs. Glover Teixeira,0,Glover Teixeira,2014-04-26,UFC 172: Jones vs Teixeira
loss,Glover Teixeira,53,0,0,0,Light Heavyweight,U-DEC,5,5:00,Jon Jones vs. Glover Teixeira,0,Jon Jones,2014-04-26,UFC 172: Jones vs Teixeira
win,Anthony Johnson,45,0,0,0,Light Heavyweight,U-DEC,3,5:00,Anthony Johnson vs. Phil Davis,1,Phil Davis,2014-04-26,UFC 172: Jones vs Teixeira
loss,Phil Davis,21,0,0,0,Light Heavyweight,U-DEC,3,5:00,Anthony Johnson vs. Phil Davis,1,Anthony Johnson,2014-04-26,UFC 172: Jones vs Teixeira
win,Luke Rockhold,4,0,2,0,Middleweight,SUB  Kimura,1,2:08,Luke Rockhold vs. Tim Boetsch,2,Tim Boetsch,2014-04-26,UFC 172: Jones vs Teixeira
loss,Tim Boetsch,1,0,0,0,Middleweight,SUB  Kimura,1,2:08,Luke Rockhold vs. Tim Boetsch,2,Luke Rockhold,2014-04-26,UFC 172: Jones vs Teixeira
win,Jim Miller,5,0,1,0,Lightweight,SUB  Guillotine Choke,1,3:18,Jim Miller vs. Yancy Medeiros,3,Yancy Medeiros,2014-04-26,UFC 172: Jones vs Teixeira
loss,Yancy Medeiros,9,0,0,0,Lightweight,SUB  Guillotine Choke,1,3:18,Jim Miller vs. Yancy Medeiros,3,Jim Miller,2014-04-26,UFC 172: Jones vs Teixeira
win,Max Holloway,47,0,2,0,Featherweight,SUB  Guillotine Choke,3,3:39,Max Holloway vs. Andre Fili,4,Andre Fili,2014-04-26,UFC 172: Jones vs Teixeira
loss,Andre Fili,44,3,0,0,Featherweight,SUB  Guillotine Choke,3,3:39,Max Holloway vs. Andre Fili,4,Max Holloway,2014-04-26,UFC 172: Jones vs Teixeira
win,Joseph Benavidez,9,0,1,3,Flyweight,SUB  Guillotine Choke,1,4:08,Joseph Benavidez vs. Tim Elliott,5,Tim Elliott,2014-04-26,UFC 172: Jones vs Teixeira
loss,Tim Elliott,16,3,0,0,Flyweight,SUB  Guillotine Choke,1,4:08,Joseph Benavidez vs. Tim Elliott,5,Joseph Benavidez,2014-04-26,UFC 172: Jones vs Teixeira
win,Takanori Gomi,130,0,0,2,Lightweight,U-DEC,3,5:00,Takanori Gomi vs. Isaac Vallie-Flagg,6,Isaac Vallie-Flagg,2014-04-26,UFC 172: Jones vs Teixeira
loss,Isaac Vallie-Flagg,107,1,0,0,Lightweight,U-DEC,3,5:00,Takanori Gomi vs. Isaac Vallie-Flagg,6,Takanori Gomi,2014-04-26,UFC 172: Jones vs Teixeira
loss,Jessamyn Duke,54,1,0,0,Women's Bantamweight,U-DEC,3,5:00,Bethe Correia vs. Jessamyn Duke,7,Bethe Correia,2014-04-26,UFC 172: Jones vs Teixeira
win,Bethe Correia,91,0,0,1,Women's Bantamweight,U-DEC,3,5:00,Bethe Correia vs. Jessamyn Duke,7,Jessamyn Duke,2014-04-26,UFC 172: Jones vs Teixeira
loss,Charlie Brenneman,13,2,0,2,Lightweight,KO/TKO  Punch,2,0:21,Danny Castillo vs. Charlie Brenneman,8,Danny Castillo,2014-04-26,UFC 172: Jones vs Teixeira
win,Danny Castillo,16,0,0,1,Lightweight,KO/TKO  Punch,2,0:21,Danny Castillo vs. Charlie Brenneman,8,Charlie Brenneman,2014-04-26,UFC 172: Jones vs Teixeira
win,Chris Beal,19,0,0,0,Bantamweight,KO/TKO  Flying Knee,2,1:51,Chris Beal vs. Patrick Williams,9,Patrick Williams,2014-04-26,UFC 172: Jones vs Teixeira
loss,Patrick Williams,14,2,0,1,Bantamweight,KO/TKO  Flying Knee,2,1:51,Chris Beal vs. Patrick Williams,9,Chris Beal,2014-04-26,UFC 172: Jones vs Teixeira
win,Fabricio Werdum,121,2,0,3,Heavyweight,U-DEC,5,5:00,Fabricio Werdum vs. Travis Browne,0,Travis Browne,2014-04-19,UFC on Fox: Werdum vs Browne
loss,Travis Browne,60,0,0,0,Heavyweight,U-DEC,5,5:00,Fabricio Werdum vs. Travis Browne,0,Fabricio Werdum,2014-04-19,UFC on Fox: Werdum vs Browne
win,Miesha Tate,27,1,2,3,Women's Bantamweight,U-DEC,3,5:00,Miesha Tate vs. Liz Carmouche,1,Liz Carmouche,2014-04-19,UFC on Fox: Werdum vs Browne
loss,Liz Carmouche,18,5,0,1,Women's Bantamweight,U-DEC,3,5:00,Miesha Tate vs. Liz Carmouche,1,Miesha Tate,2014-04-19,UFC on Fox: Werdum vs Browne
win,Donald Cerrone,11,0,2,1,Lightweight,SUB  Rear Naked Choke,1,3:15,Donald Cerrone vs. Edson Barboza,2,Edson Barboza,2014-04-19,UFC on Fox: Werdum vs Browne
loss,Edson Barboza,28,0,0,0,Lightweight,SUB  Rear Naked Choke,1,3:15,Donald Cerrone vs. Edson Barboza,2,Donald Cerrone,2014-04-19,UFC on Fox: Werdum vs Browne
win,Yoel Romero,31,7,0,4,Middleweight,U-DEC,3,5:00,Yoel Romero vs. Brad Tavares,3,Brad Tavares,2014-04-19,UFC on Fox: Werdum vs Browne
loss,Brad Tavares,21,0,0,0,Middleweight,U-DEC,3,5:00,Yoel Romero vs. Brad Tavares,3,Yoel Romero,2014-04-19,UFC on Fox: Werdum vs Browne
win,Khabib Nurmagomedov,36,6,0,6,Lightweight,U-DEC,3,5:00,Khabib Nurmagomedov vs. Rafael Dos Anjos,4,Rafael Dos Anjos,2014-04-19,UFC on Fox: Werdum vs Browne
loss,Rafael Dos Anjos,20,0,0,0,Lightweight,U-DEC,3,5:00,Khabib Nurmagomedov vs. Rafael Dos Anjos,4,Khabib Nurmagomedov,2014-04-19,UFC on Fox: Werdum vs Browne
win,Thiago Alves,116,0,0,0,Welterweight,U-DEC,3,5:00,Thiago Alves vs. Seth Baczynski,5,Seth Baczynski,2014-04-19,UFC on Fox: Werdum vs Browne
loss,Seth Baczynski,90,0,0,0,Welterweight,U-DEC,3,5:00,Thiago Alves vs. Seth Baczynski,5,Thiago Alves,2014-04-19,UFC on Fox: Werdum vs Browne
loss,Pat Healy,32,2,0,0,Lightweight,U-DEC,3,5:00,Jorge Masvidal vs. Pat Healy,6,Jorge Masvidal,2014-04-19,UFC on Fox: Werdum vs Browne
win,Jorge Masvidal,69,1,0,2,Lightweight,U-DEC,3,5:00,Jorge Masvidal vs. Pat Healy,6,Pat Healy,2014-04-19,UFC on Fox: Werdum vs Browne
win,Alex White,20,0,0,0,Featherweight,KO/TKO  Punch,1,1:28,Alex White vs. Estevan Payan,7,Estevan Payan,2014-04-19,UFC on Fox: Werdum vs Browne
loss,Estevan Payan,10,0,0,0,Featherweight,KO/TKO  Punch,1,1:28,Alex White vs. Estevan Payan,7,Alex White,2014-04-19,UFC on Fox: Werdum vs Browne
loss,Luke Zachrich,3,0,0,0,Middleweight,KO/TKO  Punch,1,0:44,Caio Magalhaes vs. Luke Zachrich,8,Caio Magalhaes,2014-04-19,UFC on Fox: Werdum vs Browne
win,Caio Magalhaes,16,0,0,0,Middleweight,KO/TKO  Punch,1,0:44,Caio Magalhaes vs. Luke Zachrich,8,Luke Zachrich,2014-04-19,UFC on Fox: Werdum vs Browne
loss,Hernani Perpetuo,21,0,1,1,Welterweight,S-DEC,3,5:00,Jordan Mein vs. Hernani Perpetuo,9,Jordan Mein,2014-04-19,UFC on Fox: Werdum vs Browne
win,Jordan Mein,46,4,0,3,Welterweight,S-DEC,3,5:00,Jordan Mein vs. Hernani Perpetuo,9,Hernani Perpetuo,2014-04-19,UFC on Fox: Werdum vs Browne
loss,Ray Borg,12,5,2,1,Flyweight,S-DEC,3,5:00,Dustin Ortiz vs. Ray Borg,10,Dustin Ortiz,2014-04-19,UFC on Fox: Werdum vs Browne
win,Dustin Ortiz,46,2,0,1,Flyweight,S-DEC,3,5:00,Dustin Ortiz vs. Ray Borg,10,Ray Borg,2014-04-19,UFC on Fox: Werdum vs Browne
loss,Chas Skelly,19,0,0,1,Featherweight,M-DEC,3,5:00,Mirsad Bektic vs. Chas Skelly,11,Mirsad Bektic,2014-04-19,UFC on Fox: Werdum vs Browne
win,Mirsad Bektic,27,2,0,3,Featherweight,M-DEC,3,5:00,Mirsad Bektic vs. Chas Skelly,11,Chas Skelly,2014-04-19,UFC on Fox: Werdum vs Browne
win,Derrick Lewis,22,1,0,2,Heavyweight,KO/TKO  Punches,1,4:23,Derrick Lewis vs. Jack May,12,Jack May,2014-04-19,UFC on Fox: Werdum vs Browne
loss,Jack May,5,1,0,1,Heavyweight,KO/TKO  Punches,1,4:23,Derrick Lewis vs. Jack May,12,Derrick Lewis,2014-04-19,UFC on Fox: Werdum vs Browne
win,Tim Kennedy,51,5,0,11,Middleweight,U-DEC,5,5:00,Tim Kennedy vs. Michael Bisping,0,Michael Bisping,2014-04-16,UFC Fight Night: Bisping vs Kennedy
loss,Michael Bisping,40,0,0,0,Middleweight,U-DEC,5,5:00,Tim Kennedy vs. Michael Bisping,0,Tim Kennedy,2014-04-16,UFC Fight Night: Bisping vs Kennedy
win,Patrick Cote,33,3,0,2,Welterweight,U-DEC,3,5:00,Patrick Cote vs. Kyle Noke,1,Kyle Noke,2014-04-16,UFC Fight Night: Bisping vs Kennedy
loss,Kyle Noke,50,0,0,0,Welterweight,U-DEC,3,5:00,Patrick Cote vs. Kyle Noke,1,Patrick Cote,2014-04-16,UFC Fight Night: Bisping vs Kennedy
win,Elias Theodorou,73,3,0,3,Middleweight,KO/TKO  Elbows,2,4:41,Elias Theodorou vs. Sheldon Westcott,2,Sheldon Westcott,2014-04-16,UFC Fight Night: Bisping vs Kennedy
loss,Sheldon Westcott,13,2,0,1,Middleweight,KO/TKO  Elbows,2,4:41,Elias Theodorou vs. Sheldon Westcott,2,Elias Theodorou,2014-04-16,UFC Fight Night: Bisping vs Kennedy
win,Chad Laprise,71,0,0,0,Welterweight,S-DEC,3,5:00,Chad Laprise vs. Olivier Aubin-Mercier,3,Olivier Aubin-Mercier,2014-04-16,UFC Fight Night: Bisping vs Kennedy
loss,Olivier Aubin-Mercier,45,2,0,0,Welterweight,S-DEC,3,5:00,Chad Laprise vs. Olivier Aubin-Mercier,3,Chad Laprise,2014-04-16,UFC Fight Night: Bisping vs Kennedy
win,Dustin Poirier,45,0,1,0,Featherweight,KO/TKO  Punch,2,0:42,Dustin Poirier vs. Akira Corassani,4,Akira Corassani,2014-04-16,UFC Fight Night: Bisping vs Kennedy
loss,Akira Corassani,24,0,0,0,Featherweight,KO/TKO  Punch,2,0:42,Dustin Poirier vs. Akira Corassani,4,Dustin Poirier,2014-04-16,UFC Fight Night: Bisping vs Kennedy
win,KJ Noons,7,0,0,0,Welterweight,KO/TKO  Punch,1,0:30,KJ Noons vs. Sam Stout,5,Sam Stout,2014-04-16,UFC Fight Night: Bisping vs Kennedy
loss,Sam Stout,5,0,0,0,Welterweight,KO/TKO  Punch,1,0:30,KJ Noons vs. Sam Stout,5,KJ Noons,2014-04-16,UFC Fight Night: Bisping vs Kennedy
loss,Leslie Smith,79,0,0,0,Women's Bantamweight,U-DEC,3,5:00,Sarah Kaufman vs. Leslie Smith,6,Sarah Kaufman,2014-04-16,UFC Fight Night: Bisping vs Kennedy
win,Sarah Kaufman,202,1,0,1,Women's Bantamweight,U-DEC,3,5:00,Sarah Kaufman vs. Leslie Smith,6,Leslie Smith,2014-04-16,UFC Fight Night: Bisping vs Kennedy
win,Ryan Jimmo,20,1,0,0,Light Heavyweight,KO/TKO  Punch,1,4:27,Ryan Jimmo vs. Sean O'Connell,7,Sean O'Connell,2014-04-16,UFC Fight Night: Bisping vs Kennedy
loss,Sean O'Connell,15,0,0,0,Light Heavyweight,KO/TKO  Punch,1,4:27,Ryan Jimmo vs. Sean O'Connell,7,Ryan Jimmo,2014-04-16,UFC Fight Night: Bisping vs Kennedy
loss,Dustin Kimura,7,3,0,2,Bantamweight,U-DEC,3,5:00,George Roop vs. Dustin Kimura,8,George Roop,2014-04-16,UFC Fight Night: Bisping vs Kennedy
win,George Roop,53,2,0,2,Bantamweight,U-DEC,3,5:00,George Roop vs. Dustin Kimura,8,Dustin Kimura,2014-04-16,UFC Fight Night: Bisping vs Kennedy
loss,Mike de la Torre,57,1,0,0,Lightweight,S-DEC,3,5:00,Mark Bocek vs. Mike de la Torre,9,Mark Bocek,2014-04-16,UFC Fight Night: Bisping vs Kennedy
win,Mark Bocek,70,3,0,1,Lightweight,S-DEC,3,5:00,Mark Bocek vs. Mike de la Torre,9,Mike de la Torre,2014-04-16,UFC Fight Night: Bisping vs Kennedy
loss,Vik Grujic,4,0,0,0,Middleweight,U-DEC,3,5:00,Nordine Taleb vs. Vik Grujic,10,Nordine Taleb,2014-04-16,UFC Fight Night: Bisping vs Kennedy
win,Nordine Taleb,48,4,0,3,Middleweight,U-DEC,3,5:00,Nordine Taleb vs. Vik Grujic,10,Vik Grujic,2014-04-16,UFC Fight Night: Bisping vs Kennedy
loss,Chris Indich,12,0,2,0,Welterweight,U-DEC,3,5:00,Richard Walsh vs. Chris Indich,11,Richard Walsh,2014-04-16,UFC Fight Night: Bisping vs Kennedy
win,Richard Walsh,71,5,0,2,Welterweight,U-DEC,3,5:00,Richard Walsh vs. Chris Indich,11,Chris Indich,2014-04-16,UFC Fight Night: Bisping vs Kennedy
win,Mitch Gagnon,47,2,5,0,Bantamweight,U-DEC,3,5:00,Mitch Gagnon vs. Tim Gorman,12,Tim Gorman,2014-04-16,UFC Fight Night: Bisping vs Kennedy
loss,Tim Gorman,15,0,0,1,Bantamweight,U-DEC,3,5:00,Mitch Gagnon vs. Tim Gorman,12,Mitch Gagnon,2014-04-16,UFC Fight Night: Bisping vs Kennedy
win,Roy Nelson,19,0,0,0,Heavyweight,KO/TKO  Punch,1,3:37,Roy Nelson vs. Minotauro Nogueira,0,Minotauro Nogueira,2014-04-11,UFC Fight Night: Minotauro vs Nelson
loss,Minotauro Nogueira,12,0,0,0,Heavyweight,KO/TKO  Punch,1,3:37,Roy Nelson vs. Minotauro Nogueira,0,Roy Nelson,2014-04-11,UFC Fight Night: Minotauro vs Nelson
win,Clay Guida,47,3,0,1,Featherweight,U-DEC,3,5:00,Clay Guida vs. Tatsuya Kawajiri,1,Tatsuya Kawajiri,2014-04-11,UFC Fight Night: Minotauro vs Nelson
loss,Tatsuya Kawajiri,19,1,1,0,Featherweight,U-DEC,3,5:00,Clay Guida vs. Tatsuya Kawajiri,1,Clay Guida,2014-04-11,UFC Fight Night: Minotauro vs Nelson
win,Ryan LaFlare,64,4,0,6,Welterweight,U-DEC,3,5:00,Ryan LaFlare vs. John Howard,2,John Howard,2014-04-11,UFC Fight Night: Minotauro vs Nelson
loss,John Howard,35,1,0,1,Welterweight,U-DEC,3,5:00,Ryan LaFlare vs. John Howard,2,Ryan LaFlare,2014-04-11,UFC Fight Night: Minotauro vs Nelson
win,Ramsey Nijem,34,1,1,4,Lightweight,KO/TKO  Punches,1,4:20,Ramsey Nijem vs. Beneil Dariush,3,Beneil Dariush,2014-04-11,UFC Fight Night: Minotauro vs Nelson
loss,Beneil Dariush,9,0,0,0,Lightweight,KO/TKO  Punches,1,4:20,Ramsey Nijem vs. Beneil Dariush,3,Ramsey Nijem,2014-04-11,UFC Fight Night: Minotauro vs Nelson
win,Jared Rosholt,34,3,0,8,Heavyweight,U-DEC,3,5:00,Jared Rosholt vs. Daniel Omielanczuk,4,Daniel Omielanczuk,2014-04-11,UFC Fight Night: Minotauro vs Nelson
loss,Daniel Omielanczuk,10,0,0,0,Heavyweight,U-DEC,3,5:00,Jared Rosholt vs. Daniel Omielanczuk,4,Jared Rosholt,2014-04-11,UFC Fight Night: Minotauro vs Nelson
win,Thales Leites,5,0,0,0,Middleweight,KO/TKO  Punch,1,0:45,Thales Leites vs. Trevor Smith,5,Trevor Smith,2014-04-11,UFC Fight Night: Minotauro vs Nelson
loss,Trevor Smith,3,0,0,0,Middleweight,KO/TKO  Punch,1,0:45,Thales Leites vs. Trevor Smith,5,Thales Leites,2014-04-11,UFC Fight Night: Minotauro vs Nelson
win,Jim Alers,36,2,0,0,Featherweight,S-DEC,3,5:00,Jim Alers vs. Alan Omer,6,Alan Omer,2014-04-11,UFC Fight Night: Minotauro vs Nelson
loss,Alan Omer,58,1,0,1,Featherweight,S-DEC,3,5:00,Jim Alers vs. Alan Omer,6,Jim Alers,2014-04-11,UFC Fight Night: Minotauro vs Nelson
nc  nc,Rani Yahya,3,0,0,0,Bantamweight,CNC,1,0:39,Rani Yahya vs. Johnny Bedford,7,Johnny Bedford,2014-04-11,UFC Fight Night: Minotauro vs Nelson
nc  nc,Johnny Bedford,4,0,0,0,Bantamweight,CNC,1,0:39,Rani Yahya vs. Johnny Bedford,7,Rani Yahya,2014-04-11,UFC Fight Night: Minotauro vs Nelson
win,Dan Henderson,23,0,0,0,Light Heavyweight,KO/TKO  Punch,3,1:31,Dan Henderson vs. Mauricio Rua,0,Mauricio Rua,2014-03-23,UFC Fight Night: Shogun vs Henderson
loss,Mauricio Rua,48,1,0,2,Light Heavyweight,KO/TKO  Punch,3,1:31,Dan Henderson vs. Mauricio Rua,0,Dan Henderson,2014-03-23,UFC Fight Night: Shogun vs Henderson
win,CB Dollaway,12,0,0,0,Middleweight,KO/TKO  Punch,1,0:39,CB Dollaway vs. Cezar Ferreira,1,Cezar Ferreira,2014-03-23,UFC Fight Night: Shogun vs Henderson
loss,Cezar Ferreira,3,0,0,0,Middleweight,KO/TKO  Punch,1,0:39,CB Dollaway vs. Cezar Ferreira,1,CB Dollaway,2014-03-23,UFC Fight Night: Shogun vs Henderson
draw  draw,Leonardo Santos,26,0,0,0,Lightweight,M-DEC,3,5:00,Leonardo Santos vs. Norman Parke,2,Norman Parke,2014-03-23,UFC Fight Night: Shogun vs Henderson
draw  draw,Norman Parke,37,0,0,0,Lightweight,M-DEC,3,5:00,Leonardo Santos vs. Norman Parke,2,Leonardo Santos,2014-03-23,UFC Fight Night: Shogun vs Henderson
win,Fabio Maldonado,132,0,0,0,Light Heavyweight,U-DEC,3,5:00,Fabio Maldonado vs. Gian Villante,3,Gian Villante,2014-03-23,UFC Fight Night: Shogun vs Henderson
loss,Gian Villante,33,3,0,3,Light Heavyweight,U-DEC,3,5:00,Fabio Maldonado vs. Gian Villante,3,Fabio Maldonado,2014-03-23,UFC Fight Night: Shogun vs Henderson
win,Michel Prazeres,35,3,0,9,Lightweight,U-DEC,3,5:00,Michel Prazeres vs. Mairbek Taisumov,4,Mairbek Taisumov,2014-03-23,UFC Fight Night: Shogun vs Henderson
loss,Mairbek Taisumov,26,0,0,0,Lightweight,U-DEC,3,5:00,Michel Prazeres vs. Mairbek Taisumov,4,Michel Prazeres,2014-03-23,UFC Fight Night: Shogun vs Henderson
win,Rony Jason,3,0,0,0,Featherweight,KO/TKO  Punch,1,1:17,Rony Jason vs. Steven Siler,5,Steven Siler,2014-03-23,UFC Fight Night: Shogun vs Henderson
loss,Steven Siler,11,0,0,0,Featherweight,KO/TKO  Punch,1,1:17,Rony Jason vs. Steven Siler,5,Rony Jason,2014-03-23,UFC Fight Night: Shogun vs Henderson
win,Thiago Santos,7,0,0,0,Middleweight,KO/TKO  Kick,1,0:53,Thiago Santos vs. Ronny Markes,6,Ronny Markes,2014-03-23,UFC Fight Night: Shogun vs Henderson
loss,Ronny Markes,0,0,0,0,Middleweight,KO/TKO  Kick,1,0:53,Thiago Santos vs. Ronny Markes,6,Thiago Santos,2014-03-23,UFC Fight Night: Shogun vs Henderson
win,Jussier Formiga,9,1,1,1,Flyweight,SUB  Rear Naked Choke,1,3:07,Jussier Formiga vs. Scott Jorgensen,7,Scott Jorgensen,2014-03-23,UFC Fight Night: Shogun vs Henderson
loss,Scott Jorgensen,6,0,0,0,Flyweight,SUB  Rear Naked Choke,1,3:07,Jussier Formiga vs. Scott Jorgensen,7,Jussier Formiga,2014-03-23,UFC Fight Night: Shogun vs Henderson
loss,Thiago Perpetuo,0,1,0,0,Welterweight,SUB  Rear Naked Choke,1,1:45,Kenny Robertson vs. Thiago Perpetuo,8,Kenny Robertson,2014-03-23,UFC Fight Night: Shogun vs Henderson
win,Kenny Robertson,9,1,1,2,Welterweight,SUB  Rear Naked Choke,1,1:45,Kenny Robertson vs. Thiago Perpetuo,8,Thiago Perpetuo,2014-03-23,UFC Fight Night: Shogun vs Henderson
loss,Francimar Barroso,36,3,0,0,Light Heavyweight,S-DEC,3,5:00,Hans Stringer vs. Francimar Barroso,9,Hans Stringer,2014-03-23,UFC Fight Night: Shogun vs Henderson
win,Hans Stringer,44,1,0,1,Light Heavyweight,S-DEC,3,5:00,Hans Stringer vs. Francimar Barroso,9,Francimar Barroso,2014-03-23,UFC Fight Night: Shogun vs Henderson
win,Godofredo Pepey,5,0,0,0,Featherweight,KO/TKO  Flying Knee,1,2:39,Godofredo Pepey vs. Noad Lahat,10,Noad Lahat,2014-03-23,UFC Fight Night: Shogun vs Henderson
loss,Noad Lahat,11,0,0,0,Featherweight,KO/TKO  Flying Knee,1,2:39,Godofredo Pepey vs. Noad Lahat,10,Godofredo Pepey,2014-03-23,UFC Fight Night: Shogun vs Henderson
win,Johny Hendricks,158,2,0,0,Welterweight,U-DEC,5,5:00,Johny Hendricks vs. Robbie Lawler,0,Robbie Lawler,2014-03-15,UFC 171: Hendricks vs Lawler
loss,Robbie Lawler,150,0,0,0,Welterweight,U-DEC,5,5:00,Johny Hendricks vs. Robbie Lawler,0,Johny Hendricks,2014-03-15,UFC 171: Hendricks vs Lawler
win,Tyron Woodley,14,3,0,0,Welterweight,KO/TKO,2,2:00,Tyron Woodley vs. Carlos Condit,1,Carlos Condit,2014-03-15,UFC 171: Hendricks vs Lawler
loss,Carlos Condit,13,0,1,0,Welterweight,KO/TKO,2,2:00,Tyron Woodley vs. Carlos Condit,1,Tyron Woodley,2014-03-15,UFC 171: Hendricks vs Lawler
win,Myles Jury,46,3,0,0,Lightweight,U-DEC,3,5:00,Myles Jury vs. Diego Sanchez,2,Diego Sanchez,2014-03-15,UFC 171: Hendricks vs Lawler
loss,Diego Sanchez,25,0,2,0,Lightweight,U-DEC,3,5:00,Myles Jury vs. Diego Sanchez,2,Myles Jury,2014-03-15,UFC 171: Hendricks vs Lawler
win,Hector Lombard,27,5,0,2,Welterweight,U-DEC,3,5:00,Hector Lombard vs. Jake Shields,3,Jake Shields,2014-03-15,UFC 171: Hendricks vs Lawler
loss,Jake Shields,4,0,1,0,Welterweight,U-DEC,3,5:00,Hector Lombard vs. Jake Shields,3,Hector Lombard,2014-03-15,UFC 171: Hendricks vs Lawler
win,Ovince Saint Preux,1,1,1,1,Light Heavyweight,SUB  Other - Choke,1,1:29,Ovince Saint Preux vs. Nikita Krylov,4,Nikita Krylov,2014-03-15,UFC 171: Hendricks vs Lawler
loss,Nikita Krylov,1,0,0,0,Light Heavyweight,SUB  Other - Choke,1,1:29,Ovince Saint Preux vs. Nikita Krylov,4,Ovince Saint Preux,2014-03-15,UFC 171: Hendricks vs Lawler
win,Kelvin Gastelum,59,1,0,3,Welterweight,S-DEC,3,5:00,Kelvin Gastelum vs. Rick Story,5,Rick Story,2014-03-15,UFC 171: Hendricks vs Lawler
loss,Rick Story,45,0,0,1,Welterweight,S-DEC,3,5:00,Kelvin Gastelum vs. Rick Story,5,Kelvin Gastelum,2014-03-15,UFC 171: Hendricks vs Lawler
loss,Raquel Pennington,82,2,2,0,Women's Bantamweight,S-DEC,3,5:00,Jessica Andrade vs. Raquel Pennington,6,Jessica Andrade,2014-03-15,UFC 171: Hendricks vs Lawler
win,Jessica Andrade,66,3,0,3,Women's Bantamweight,S-DEC,3,5:00,Jessica Andrade vs. Raquel Pennington,6,Raquel Pennington,2014-03-15,UFC 171: Hendricks vs Lawler
win,Dennis Bermudez,55,6,1,2,Featherweight,KO/TKO  Knee,3,2:57,Dennis Bermudez vs. Jimy Hettes,7,Jimy Hettes,2014-03-15,UFC 171: Hendricks vs Lawler
loss,Jimy Hettes,34,0,0,1,Featherweight,KO/TKO  Knee,3,2:57,Dennis Bermudez vs. Jimy Hettes,7,Dennis Bermudez,2014-03-15,UFC 171: Hendricks vs Lawler
loss,Sean Spencer,58,0,0,0,Welterweight,S-DEC,3,5:00,Alex Garcia vs. Sean Spencer,8,Alex Garcia,2014-03-15,UFC 171: Hendricks vs Lawler
win,Alex Garcia,61,8,0,3,Welterweight,S-DEC,3,5:00,Alex Garcia vs. Sean Spencer,8,Sean Spencer,2014-03-15,UFC 171: Hendricks vs Lawler
loss,Renee Forte,14,5,0,3,Lightweight,U-DEC,3,5:00,Francisco Trevino vs. Renee Forte,9,Francisco Trevino,2014-03-15,UFC 171: Hendricks vs Lawler
win,Francisco Trevino,47,2,0,0,Lightweight,U-DEC,3,5:00,Francisco Trevino vs. Renee Forte,9,Renee Forte,2014-03-15,UFC 171: Hendricks vs Lawler
loss,Will Campuzano,4,0,1,0,Flyweight,U-DEC,3,5:00,Justin Scoggins vs. Will Campuzano,10,Justin Scoggins,2014-03-15,UFC 171: Hendricks vs Lawler
win,Justin Scoggins,61,6,0,13,Flyweight,U-DEC,3,5:00,Justin Scoggins vs. Will Campuzano,10,Will Campuzano,2014-03-15,UFC 171: Hendricks vs Lawler
loss,Bubba McDaniel,4,1,0,0,Middleweight,SUB  Rear Naked Choke,1,4:33,Sean Strickland vs. Bubba McDaniel,11,Sean Strickland,2014-03-15,UFC 171: Hendricks vs Lawler
win,Sean Strickland,20,1,1,3,Middleweight,SUB  Rear Naked Choke,1,4:33,Sean Strickland vs. Bubba McDaniel,11,Bubba McDaniel,2014-03-15,UFC 171: Hendricks vs Lawler
win,Rob Whiteford,26,5,0,4,Featherweight,U-DEC,3,5:00,Rob Whiteford vs. Daniel Pineda,12,Daniel Pineda,2014-03-15,UFC 171: Hendricks vs Lawler
loss,Daniel Pineda,24,1,3,1,Featherweight,U-DEC,3,5:00,Rob Whiteford vs. Daniel Pineda,12,Rob Whiteford,2014-03-15,UFC 171: Hendricks vs Lawler
win,Alexander Gustafsson,21,1,0,1,Light Heavyweight,KO/TKO  Knee,2,1:18,Alexander Gustafsson vs. Jimi Manuwa,0,Jimi Manuwa,2014-03-08,UFC Fight Night: Gustafsson vs Manuwa
loss,Jimi Manuwa,13,0,0,0,Light Heavyweight,KO/TKO  Knee,2,1:18,Alexander Gustafsson vs. Jimi Manuwa,0,Alexander Gustafsson,2014-03-08,UFC Fight Night: Gustafsson vs Manuwa
win,Michael Johnson,48,1,0,0,Lightweight,U-DEC,3,5:00,Michael Johnson vs. Melvin Guillard,1,Melvin Guillard,2014-03-08,UFC Fight Night: Gustafsson vs Manuwa
loss,Melvin Guillard,22,0,0,0,Lightweight,U-DEC,3,5:00,Michael Johnson vs. Melvin Guillard,1,Michael Johnson,2014-03-08,UFC Fight Night: Gustafsson vs Manuwa
